sample_id,image_path,temperature_c,humidity_percent,co2_ppm,hcho_raw,tvoc_raw,valid,split,notes,review_status,reviewer,reviewed_at_utc,proposal_model,prompt_version,source_proposals,source_labels
serial_timed_fast_20260627T1205Z_capture_0015,tools/dataset/captures/serial_timed_fast_20260627T1205Z/capture_0015.jpg,28,46,838,64,178,true,train,timed_daylight_usb ollama_ocr,approved,owner-bulk-approved,2026-06-29T06:46:10+00:00,,,tools/dataset/captures/serial_timed_fast_20260627T1205Z/labels_ollama_review_queue.csv,tools/dataset/captures/serial_timed_fast_20260627T1205Z/labels_environment.csv
serial_timed_fast_20260627T1205Z_capture_0018,tools/dataset/captures/serial_timed_fast_20260627T1205Z/capture_0018.jpg,28,46,833,64,173,true,train,timed_daylight_usb ollama_ocr,approved,owner-bulk-approved,2026-06-29T06:46:10+00:00,,,tools/dataset/captures/serial_timed_fast_20260627T1205Z/labels_ollama_review_queue.csv,tools/dataset/captures/serial_timed_fast_20260627T1205Z/labels_environment.csv
serial_timed_fast_20260627T1205Z_capture_0041,tools/dataset/captures/serial_timed_fast_20260627T1205Z/capture_0041.jpg,28,46,833,64,173,true,validation,timed_daylight_usb ollama_ocr,approved,owner-bulk-approved,2026-06-29T06:46:10+00:00,,,tools/dataset/captures/serial_timed_fast_20260627T1205Z/labels_ollama_review_queue.csv,tools/dataset/captures/serial_timed_fast_20260627T1205Z/labels_environment.csv
serial_timed_fast_20260627T1205Z_capture_0044,tools/dataset/captures/serial_timed_fast_20260627T1205Z/capture_0044.jpg,28,46,833,54,173,true,train,timed_daylight_usb ollama_ocr,approved,owner-bulk-approved,2026-06-29T06:46:10+00:00,,,tools/dataset/captures/serial_timed_fast_20260627T1205Z/labels_ollama_review_queue.csv,tools/dataset/captures/serial_timed_fast_20260627T1205Z/labels_environment.csv
serial_timed_fast_20260627T1205Z_capture_0047,tools/dataset/captures/serial_timed_fast_20260627T1205Z/capture_0047.jpg,28,46,833,54,173,true,train,timed_daylight_usb ollama_ocr,approved,owner-bulk-approved,2026-06-29T06:46:10+00:00,,,tools/dataset/captures/serial_timed_fast_20260627T1205Z/labels_ollama_review_queue.csv,tools/dataset/captures/serial_timed_fast_20260627T1205Z/labels_environment.csv
serial_timed_fast_20260627T1205Z_capture_0053,tools/dataset/captures/serial_timed_fast_20260627T1205Z/capture_0053.jpg,28,46,833,54,173,true,train,timed_daylight_usb ollama_ocr,approved,owner-bulk-approved,2026-06-29T06:46:10+00:00,,,tools/dataset/captures/serial_timed_fast_20260627T1205Z/labels_ollama_review_queue.csv,tools/dataset/captures/serial_timed_fast_20260627T1205Z/labels_environment.csv
serial_timed_fast_20260627T1205Z_capture_0062,tools/dataset/captures/serial_timed_fast_20260627T1205Z/capture_0062.jpg,28,46,827,63,16,true,train,timed_daylight_usb ollama_ocr,approved,owner-bulk-approved,2026-06-29T06:46:10+00:00,qwen3-vl:4b,aqs-five-field-v2,tools/dataset/captures/serial_timed_fast_20260627T1205Z/labels_ollama_review_queue.csv,tools/dataset/captures/serial_timed_fast_20260627T1205Z/labels_environment.csv
serial_timed_fast_20260627T1205Z_capture_0065,tools/dataset/captures/serial_timed_fast_20260627T1205Z/capture_0065.jpg,28,46,827,63,16,true,validation,timed_daylight_usb ollama_ocr,approved,owner-bulk-approved,2026-06-29T06:46:10+00:00,qwen3-vl:4b,aqs-five-field-v2,tools/dataset/captures/serial_timed_fast_20260627T1205Z/labels_ollama_review_queue.csv,tools/dataset/captures/serial_timed_fast_20260627T1205Z/labels_environment.csv
serial_timed_fast_20260627T1205Z_capture_0068,tools/dataset/captures/serial_timed_fast_20260627T1205Z/capture_0068.jpg,28,46,833,64,18,true,train,timed_daylight_usb ollama_ocr,approved,owner-bulk-approved,2026-06-29T06:46:10+00:00,qwen3-vl:4b,aqs-five-field-v2,tools/dataset/captures/serial_timed_fast_20260627T1205Z/labels_ollama_review_queue.csv,tools/dataset/captures/serial_timed_fast_20260627T1205Z/labels_environment.csv
serial_timed_fast_20260627T1205Z_capture_0071,tools/dataset/captures/serial_timed_fast_20260627T1205Z/capture_0071.jpg,28,46,833,64,13,true,train,timed_daylight_usb ollama_ocr,approved,owner-bulk-approved,2026-06-29T06:46:10+00:00,qwen3-vl:4b,aqs-five-field-v2,tools/dataset/captures/serial_timed_fast_20260627T1205Z/labels_ollama_review_queue.csv,tools/dataset/captures/serial_timed_fast_20260627T1205Z/labels_environment.csv
