sample_id,image_path,label,source,split,origin,position
real_live_mounted_29c_41h_20260625T195058Z_capture_01_temp_0_2,/home/mpetrick/repos/esp32-fever-dream/models/generated/landmark_crop_smoke_v2/crops/train/2/real_live_mounted_29c_41h_20260625T195058Z_capture_01_temp_0_2.png,2,real,train,tools/dataset/captures/live_mounted_29c_41h_20260625T195058Z/labels_environment.csv,temp_0
real_live_mounted_29c_41h_20260625T195058Z_capture_01_temp_1_9,/home/mpetrick/repos/esp32-fever-dream/models/generated/landmark_crop_smoke_v2/crops/train/9/real_live_mounted_29c_41h_20260625T195058Z_capture_01_temp_1_9.png,9,real,train,tools/dataset/captures/live_mounted_29c_41h_20260625T195058Z/labels_environment.csv,temp_1
real_live_mounted_29c_41h_20260625T195058Z_capture_01_humidity_0_4,/home/mpetrick/repos/esp32-fever-dream/models/generated/landmark_crop_smoke_v2/crops/train/4/real_live_mounted_29c_41h_20260625T195058Z_capture_01_humidity_0_4.png,4,real,train,tools/dataset/captures/live_mounted_29c_41h_20260625T195058Z/labels_environment.csv,humidity_0
real_live_mounted_29c_41h_20260625T195058Z_capture_01_humidity_1_1,/home/mpetrick/repos/esp32-fever-dream/models/generated/landmark_crop_smoke_v2/crops/train/1/real_live_mounted_29c_41h_20260625T195058Z_capture_01_humidity_1_1.png,1,real,train,tools/dataset/captures/live_mounted_29c_41h_20260625T195058Z/labels_environment.csv,humidity_1
real_live_mounted_29c_41h_20260625T195058Z_capture_02_temp_0_2,/home/mpetrick/repos/esp32-fever-dream/models/generated/landmark_crop_smoke_v2/crops/train/2/real_live_mounted_29c_41h_20260625T195058Z_capture_02_temp_0_2.png,2,real,train,tools/dataset/captures/live_mounted_29c_41h_20260625T195058Z/labels_environment.csv,temp_0
real_live_mounted_29c_41h_20260625T195058Z_capture_02_temp_1_9,/home/mpetrick/repos/esp32-fever-dream/models/generated/landmark_crop_smoke_v2/crops/train/9/real_live_mounted_29c_41h_20260625T195058Z_capture_02_temp_1_9.png,9,real,train,tools/dataset/captures/live_mounted_29c_41h_20260625T195058Z/labels_environment.csv,temp_1
real_live_mounted_29c_41h_20260625T195058Z_capture_02_humidity_0_4,/home/mpetrick/repos/esp32-fever-dream/models/generated/landmark_crop_smoke_v2/crops/train/4/real_live_mounted_29c_41h_20260625T195058Z_capture_02_humidity_0_4.png,4,real,train,tools/dataset/captures/live_mounted_29c_41h_20260625T195058Z/labels_environment.csv,humidity_0
real_live_mounted_29c_41h_20260625T195058Z_capture_02_humidity_1_1,/home/mpetrick/repos/esp32-fever-dream/models/generated/landmark_crop_smoke_v2/crops/train/1/real_live_mounted_29c_41h_20260625T195058Z_capture_02_humidity_1_1.png,1,real,train,tools/dataset/captures/live_mounted_29c_41h_20260625T195058Z/labels_environment.csv,humidity_1
real_live_mounted_29c_41h_20260625T195058Z_capture_03_temp_0_2,/home/mpetrick/repos/esp32-fever-dream/models/generated/landmark_crop_smoke_v2/crops/train/2/real_live_mounted_29c_41h_20260625T195058Z_capture_03_temp_0_2.png,2,real,train,tools/dataset/captures/live_mounted_29c_41h_20260625T195058Z/labels_environment.csv,temp_0
real_live_mounted_29c_41h_20260625T195058Z_capture_03_temp_1_9,/home/mpetrick/repos/esp32-fever-dream/models/generated/landmark_crop_smoke_v2/crops/train/9/real_live_mounted_29c_41h_20260625T195058Z_capture_03_temp_1_9.png,9,real,train,tools/dataset/captures/live_mounted_29c_41h_20260625T195058Z/labels_environment.csv,temp_1
real_live_mounted_29c_41h_20260625T195058Z_capture_03_humidity_0_4,/home/mpetrick/repos/esp32-fever-dream/models/generated/landmark_crop_smoke_v2/crops/train/4/real_live_mounted_29c_41h_20260625T195058Z_capture_03_humidity_0_4.png,4,real,train,tools/dataset/captures/live_mounted_29c_41h_20260625T195058Z/labels_environment.csv,humidity_0
real_live_mounted_29c_41h_20260625T195058Z_capture_03_humidity_1_1,/home/mpetrick/repos/esp32-fever-dream/models/generated/landmark_crop_smoke_v2/crops/train/1/real_live_mounted_29c_41h_20260625T195058Z_capture_03_humidity_1_1.png,1,real,train,tools/dataset/captures/live_mounted_29c_41h_20260625T195058Z/labels_environment.csv,humidity_1
real_live_mounted_29c_41h_20260625T195058Z_capture_04_temp_0_2,/home/mpetrick/repos/esp32-fever-dream/models/generated/landmark_crop_smoke_v2/crops/train/2/real_live_mounted_29c_41h_20260625T195058Z_capture_04_temp_0_2.png,2,real,train,tools/dataset/captures/live_mounted_29c_41h_20260625T195058Z/labels_environment.csv,temp_0
real_live_mounted_29c_41h_20260625T195058Z_capture_04_temp_1_9,/home/mpetrick/repos/esp32-fever-dream/models/generated/landmark_crop_smoke_v2/crops/train/9/real_live_mounted_29c_41h_20260625T195058Z_capture_04_temp_1_9.png,9,real,train,tools/dataset/captures/live_mounted_29c_41h_20260625T195058Z/labels_environment.csv,temp_1
real_live_mounted_29c_41h_20260625T195058Z_capture_04_humidity_0_4,/home/mpetrick/repos/esp32-fever-dream/models/generated/landmark_crop_smoke_v2/crops/train/4/real_live_mounted_29c_41h_20260625T195058Z_capture_04_humidity_0_4.png,4,real,train,tools/dataset/captures/live_mounted_29c_41h_20260625T195058Z/labels_environment.csv,humidity_0
real_live_mounted_29c_41h_20260625T195058Z_capture_04_humidity_1_1,/home/mpetrick/repos/esp32-fever-dream/models/generated/landmark_crop_smoke_v2/crops/train/1/real_live_mounted_29c_41h_20260625T195058Z_capture_04_humidity_1_1.png,1,real,train,tools/dataset/captures/live_mounted_29c_41h_20260625T195058Z/labels_environment.csv,humidity_1
real_live_mounted_29c_41h_20260625T195058Z_capture_05_temp_0_2,/home/mpetrick/repos/esp32-fever-dream/models/generated/landmark_crop_smoke_v2/crops/validation/2/real_live_mounted_29c_41h_20260625T195058Z_capture_05_temp_0_2.png,2,real,validation,tools/dataset/captures/live_mounted_29c_41h_20260625T195058Z/labels_environment.csv,temp_0
real_live_mounted_29c_41h_20260625T195058Z_capture_05_temp_1_9,/home/mpetrick/repos/esp32-fever-dream/models/generated/landmark_crop_smoke_v2/crops/validation/9/real_live_mounted_29c_41h_20260625T195058Z_capture_05_temp_1_9.png,9,real,validation,tools/dataset/captures/live_mounted_29c_41h_20260625T195058Z/labels_environment.csv,temp_1
real_live_mounted_29c_41h_20260625T195058Z_capture_05_humidity_0_4,/home/mpetrick/repos/esp32-fever-dream/models/generated/landmark_crop_smoke_v2/crops/validation/4/real_live_mounted_29c_41h_20260625T195058Z_capture_05_humidity_0_4.png,4,real,validation,tools/dataset/captures/live_mounted_29c_41h_20260625T195058Z/labels_environment.csv,humidity_0
real_live_mounted_29c_41h_20260625T195058Z_capture_05_humidity_1_1,/home/mpetrick/repos/esp32-fever-dream/models/generated/landmark_crop_smoke_v2/crops/validation/1/real_live_mounted_29c_41h_20260625T195058Z_capture_05_humidity_1_1.png,1,real,validation,tools/dataset/captures/live_mounted_29c_41h_20260625T195058Z/labels_environment.csv,humidity_1
real_live_mounted_29c_41h_20260625T195058Z_capture_06_temp_0_2,/home/mpetrick/repos/esp32-fever-dream/models/generated/landmark_crop_smoke_v2/crops/train/2/real_live_mounted_29c_41h_20260625T195058Z_capture_06_temp_0_2.png,2,real,train,tools/dataset/captures/live_mounted_29c_41h_20260625T195058Z/labels_environment.csv,temp_0
real_live_mounted_29c_41h_20260625T195058Z_capture_06_temp_1_9,/home/mpetrick/repos/esp32-fever-dream/models/generated/landmark_crop_smoke_v2/crops/train/9/real_live_mounted_29c_41h_20260625T195058Z_capture_06_temp_1_9.png,9,real,train,tools/dataset/captures/live_mounted_29c_41h_20260625T195058Z/labels_environment.csv,temp_1
real_live_mounted_29c_41h_20260625T195058Z_capture_06_humidity_0_4,/home/mpetrick/repos/esp32-fever-dream/models/generated/landmark_crop_smoke_v2/crops/train/4/real_live_mounted_29c_41h_20260625T195058Z_capture_06_humidity_0_4.png,4,real,train,tools/dataset/captures/live_mounted_29c_41h_20260625T195058Z/labels_environment.csv,humidity_0
real_live_mounted_29c_41h_20260625T195058Z_capture_06_humidity_1_1,/home/mpetrick/repos/esp32-fever-dream/models/generated/landmark_crop_smoke_v2/crops/train/1/real_live_mounted_29c_41h_20260625T195058Z_capture_06_humidity_1_1.png,1,real,train,tools/dataset/captures/live_mounted_29c_41h_20260625T195058Z/labels_environment.csv,humidity_1
real_live_mounted_29c_41h_20260625T195058Z_capture_07_temp_0_2,/home/mpetrick/repos/esp32-fever-dream/models/generated/landmark_crop_smoke_v2/crops/train/2/real_live_mounted_29c_41h_20260625T195058Z_capture_07_temp_0_2.png,2,real,train,tools/dataset/captures/live_mounted_29c_41h_20260625T195058Z/labels_environment.csv,temp_0
