split,sample_id,crop_path,position,expected,predicted,confidence_percent
validation,real_serial_timed_fast_20260627T1205Z_serial_timed_fast_20260627T1205Z_capture_0041_co2_1_8,/home/mpetrick/repos/esp32-fever-dream/models/generated/digit_dataset/crops/validation/8/real_serial_timed_fast_20260627T1205Z_serial_timed_fast_20260627T1205Z_capture_0041_co2_1_8.png,co2_1,8,7,72
validation,real_serial_timed_fast_20260627T1205Z_serial_timed_fast_20260627T1205Z_capture_0041_co2_2_3,/home/mpetrick/repos/esp32-fever-dream/models/generated/digit_dataset/crops/validation/3/real_serial_timed_fast_20260627T1205Z_serial_timed_fast_20260627T1205Z_capture_0041_co2_2_3.png,co2_2,3,5,30
validation,real_serial_timed_fast_20260627T1205Z_serial_timed_fast_20260627T1205Z_capture_0041_co2_3_3,/home/mpetrick/repos/esp32-fever-dream/models/generated/digit_dataset/crops/validation/3/real_serial_timed_fast_20260627T1205Z_serial_timed_fast_20260627T1205Z_capture_0041_co2_3_3.png,co2_3,3,2,32
validation,real_serial_timed_fast_20260627T1205Z_serial_timed_fast_20260627T1205Z_capture_0041_hcho_2_6,/home/mpetrick/repos/esp32-fever-dream/models/generated/digit_dataset/crops/validation/6/real_serial_timed_fast_20260627T1205Z_serial_timed_fast_20260627T1205Z_capture_0041_hcho_2_6.png,hcho_2,6,5,79
validation,real_serial_timed_fast_20260627T1205Z_serial_timed_fast_20260627T1205Z_capture_0041_hcho_3_4,/home/mpetrick/repos/esp32-fever-dream/models/generated/digit_dataset/crops/validation/4/real_serial_timed_fast_20260627T1205Z_serial_timed_fast_20260627T1205Z_capture_0041_hcho_3_4.png,hcho_3,4,3,32
validation,real_serial_timed_fast_20260627T1205Z_serial_timed_fast_20260627T1205Z_capture_0041_tvoc_2_7,/home/mpetrick/repos/esp32-fever-dream/models/generated/digit_dataset/crops/validation/7/real_serial_timed_fast_20260627T1205Z_serial_timed_fast_20260627T1205Z_capture_0041_tvoc_2_7.png,tvoc_2,7,1,99
validation,real_serial_timed_fast_20260627T1205Z_serial_timed_fast_20260627T1205Z_capture_0041_humidity_1_6,/home/mpetrick/repos/esp32-fever-dream/models/generated/digit_dataset/crops/validation/6/real_serial_timed_fast_20260627T1205Z_serial_timed_fast_20260627T1205Z_capture_0041_humidity_1_6.png,humidity_1,6,5,97
validation,real_serial_timed_fast_20260627T1205Z_serial_timed_fast_20260627T1205Z_capture_0065_tvoc_1_0,/home/mpetrick/repos/esp32-fever-dream/models/generated/digit_dataset/crops/validation/0/real_serial_timed_fast_20260627T1205Z_serial_timed_fast_20260627T1205Z_capture_0065_tvoc_1_0.png,tvoc_1,0,1,93
validation,real_serial_timed_fast_20260627T1205Z_serial_timed_fast_20260627T1205Z_capture_0079_co2_1_8,/home/mpetrick/repos/esp32-fever-dream/models/generated/digit_dataset/crops/validation/8/real_serial_timed_fast_20260627T1205Z_serial_timed_fast_20260627T1205Z_capture_0079_co2_1_8.png,co2_1,8,7,72
validation,real_serial_timed_fast_20260627T1205Z_serial_timed_fast_20260627T1205Z_capture_0079_co2_2_2,/home/mpetrick/repos/esp32-fever-dream/models/generated/digit_dataset/crops/validation/2/real_serial_timed_fast_20260627T1205Z_serial_timed_fast_20260627T1205Z_capture_0079_co2_2_2.png,co2_2,2,5,35
