sample_id,image_path,lighting_label,split,display_text,predicted_display_text,temperature_text,temperature_c,humidity_percent,valid,confidence,roi_brightness,roi_contrast,roi_sharpness,notes
capture_0001,tools/dataset/captures/approved_29c_43h_20260625T185939Z/capture_0001.jpg,baseline_manual_29c_43h_approved,train,29C 43%,29C 43%,29C,29.00,43,true,0.4965,17.68,37.84,3.05,human_confirmed_approved_29c_43h
capture_0002,tools/dataset/captures/approved_29c_43h_20260625T185939Z/capture_0002.jpg,baseline_manual_29c_43h_approved,train,29C 43%,29C 43%,29C,29.00,43,true,0.4990,17.94,37.99,3.08,human_confirmed_approved_29c_43h
capture_0003,tools/dataset/captures/approved_29c_43h_20260625T185939Z/capture_0003.jpg,baseline_manual_29c_43h_approved,train,29C 43%,29C 43%,29C,29.00,43,true,0.5002,17.99,38.09,3.09,human_confirmed_approved_29c_43h
capture_0004,tools/dataset/captures/approved_29c_43h_20260625T185939Z/capture_0004.jpg,baseline_manual_29c_43h_approved,train,29C 43%,29C 43%,29C,29.00,43,true,0.5008,17.98,38.16,3.08,human_confirmed_approved_29c_43h
capture_0005,tools/dataset/captures/approved_29c_43h_20260625T185939Z/capture_0005.jpg,baseline_manual_29c_43h_approved,validation,29C 43%,29C 43%,29C,29.00,43,true,0.4996,17.98,37.97,3.11,human_confirmed_approved_29c_43h
capture_0006,tools/dataset/captures/approved_29c_43h_20260625T185939Z/capture_0006.jpg,baseline_manual_29c_43h_approved,train,29C 43%,29C 43%,29C,29.00,43,true,0.4996,17.90,37.99,3.10,human_confirmed_approved_29c_43h
capture_0007,tools/dataset/captures/approved_29c_43h_20260625T185939Z/capture_0007.jpg,baseline_manual_29c_43h_approved,train,29C 43%,29C 43%,29C,29.00,43,true,0.4990,17.99,37.90,3.11,human_confirmed_approved_29c_43h
capture_0008,tools/dataset/captures/approved_29c_43h_20260625T185939Z/capture_0008.jpg,baseline_manual_29c_43h_approved,train,29C 43%,29C 43%,29C,29.00,43,true,0.4991,17.98,38.03,3.06,human_confirmed_approved_29c_43h
capture_0009,tools/dataset/captures/approved_29c_43h_20260625T185939Z/capture_0009.jpg,baseline_manual_29c_43h_approved,train,29C 43%,29C 43%,29C,29.00,43,true,0.5000,17.99,38.05,3.09,human_confirmed_approved_29c_43h
capture_0010,tools/dataset/captures/approved_29c_43h_20260625T185939Z/capture_0010.jpg,baseline_manual_29c_43h_approved,test,29C 43%,29C 43%,29C,29.00,43,true,0.4982,17.84,37.93,3.08,human_confirmed_approved_29c_43h
capture_0011,tools/dataset/captures/approved_29c_43h_20260625T185939Z/capture_0011.jpg,baseline_manual_29c_43h_approved,train,29C 43%,29C 43%,29C,29.00,43,true,0.4990,17.98,37.97,3.09,human_confirmed_approved_29c_43h
capture_0012,tools/dataset/captures/approved_29c_43h_20260625T185939Z/capture_0012.jpg,baseline_manual_29c_43h_approved,train,29C 43%,29C 43%,29C,29.00,43,true,0.4999,17.95,38.04,3.09,human_confirmed_approved_29c_43h
capture_0013,tools/dataset/captures/approved_29c_43h_20260625T185939Z/capture_0013.jpg,baseline_manual_29c_43h_approved,train,29C 43%,29C 43%,29C,29.00,43,true,0.4989,17.94,37.93,3.10,human_confirmed_approved_29c_43h
capture_0014,tools/dataset/captures/approved_29c_43h_20260625T185939Z/capture_0014.jpg,baseline_manual_29c_43h_approved,train,29C 43%,29C 43%,29C,29.00,43,true,0.4984,17.92,37.94,3.07,human_confirmed_approved_29c_43h
capture_0015,tools/dataset/captures/approved_29c_43h_20260625T185939Z/capture_0015.jpg,baseline_manual_29c_43h_approved,validation,29C 43%,29C 43%,29C,29.00,43,true,0.4979,17.88,37.87,3.08,human_confirmed_approved_29c_43h
capture_0016,tools/dataset/captures/approved_29c_43h_20260625T185939Z/capture_0016.jpg,baseline_manual_29c_43h_approved,train,29C 43%,29C 43%,29C,29.00,43,true,0.4994,17.97,38.10,3.05,human_confirmed_approved_29c_43h
capture_0017,tools/dataset/captures/approved_29c_43h_20260625T185939Z/capture_0017.jpg,baseline_manual_29c_43h_approved,train,29C 43%,29C 43%,29C,29.00,43,true,0.4993,17.86,37.97,3.10,human_confirmed_approved_29c_43h
capture_0018,tools/dataset/captures/approved_29c_43h_20260625T185939Z/capture_0018.jpg,baseline_manual_29c_43h_approved,train,29C 43%,29C 43%,29C,29.00,43,true,0.5005,18.03,38.08,3.10,human_confirmed_approved_29c_43h
capture_0019,tools/dataset/captures/approved_29c_43h_20260625T185939Z/capture_0019.jpg,baseline_manual_29c_43h_approved,train,29C 43%,29C 43%,29C,29.00,43,true,0.4987,18.03,37.97,3.07,human_confirmed_approved_29c_43h
capture_0020,tools/dataset/captures/approved_29c_43h_20260625T185939Z/capture_0020.jpg,baseline_manual_29c_43h_approved,test,29C 43%,29C 43%,29C,29.00,43,true,0.4981,17.85,37.88,3.09,human_confirmed_approved_29c_43h
capture_0021,tools/dataset/captures/approved_29c_43h_20260625T185939Z/capture_0021.jpg,baseline_manual_29c_43h_approved,train,29C 43%,29C 43%,29C,29.00,43,true,0.5004,17.87,38.07,3.10,human_confirmed_approved_29c_43h
capture_0022,tools/dataset/captures/approved_29c_43h_20260625T185939Z/capture_0022.jpg,baseline_manual_29c_43h_approved,train,29C 43%,29C 43%,29C,29.00,43,true,0.5005,18.09,38.10,3.09,human_confirmed_approved_29c_43h
capture_0023,tools/dataset/captures/approved_29c_43h_20260625T185939Z/capture_0023.jpg,baseline_manual_29c_43h_approved,train,29C 43%,29C 43%,29C,29.00,43,true,0.5038,18.44,38.02,3.23,human_confirmed_approved_29c_43h
capture_0024,tools/dataset/captures/approved_29c_43h_20260625T185939Z/capture_0024.jpg,baseline_manual_29c_43h_approved,train,29C 43%,29C 43%,29C,29.00,43,true,0.4946,17.75,37.57,3.08,human_confirmed_approved_29c_43h
capture_0025,tools/dataset/captures/approved_29c_43h_20260625T185939Z/capture_0025.jpg,baseline_manual_29c_43h_approved,validation,29C 43%,29C 43%,29C,29.00,43,true,0.4964,17.80,37.76,3.07,human_confirmed_approved_29c_43h
capture_0026,tools/dataset/captures/approved_29c_43h_20260625T185939Z/capture_0026.jpg,baseline_manual_29c_43h_approved,train,29C 43%,29C 43%,29C,29.00,43,true,0.4974,17.91,37.80,3.09,human_confirmed_approved_29c_43h
capture_0027,tools/dataset/captures/approved_29c_43h_20260625T185939Z/capture_0027.jpg,baseline_manual_29c_43h_approved,train,29C 43%,29C 43%,29C,29.00,43,true,0.4972,17.91,37.80,3.08,human_confirmed_approved_29c_43h
capture_0028,tools/dataset/captures/approved_29c_43h_20260625T185939Z/capture_0028.jpg,baseline_manual_29c_43h_approved,train,29C 43%,29C 43%,29C,29.00,43,true,0.4949,17.85,37.65,3.05,human_confirmed_approved_29c_43h
capture_0029,tools/dataset/captures/approved_29c_43h_20260625T185939Z/capture_0029.jpg,baseline_manual_29c_43h_approved,train,29C 43%,29C 43%,29C,29.00,43,true,0.4977,17.92,37.84,3.09,human_confirmed_approved_29c_43h
capture_0030,tools/dataset/captures/approved_29c_43h_20260625T185939Z/capture_0030.jpg,baseline_manual_29c_43h_approved,test,29C 43%,29C 43%,29C,29.00,43,true,0.4968,17.78,37.81,3.07,human_confirmed_approved_29c_43h
capture_0031,tools/dataset/captures/approved_29c_43h_20260625T185939Z/capture_0031.jpg,baseline_manual_29c_43h_approved,train,29C 43%,29C 43%,29C,29.00,43,true,0.4971,17.82,37.84,3.07,human_confirmed_approved_29c_43h
capture_0032,tools/dataset/captures/approved_29c_43h_20260625T185939Z/capture_0032.jpg,baseline_manual_29c_43h_approved,train,29C 43%,29C 43%,29C,29.00,43,true,0.4952,17.71,37.69,3.06,human_confirmed_approved_29c_43h
capture_0033,tools/dataset/captures/approved_29c_43h_20260625T185939Z/capture_0033.jpg,baseline_manual_29c_43h_approved,train,29C 43%,29C 43%,29C,29.00,43,true,0.4963,17.74,37.76,3.07,human_confirmed_approved_29c_43h
capture_0034,tools/dataset/captures/approved_29c_43h_20260625T185939Z/capture_0034.jpg,baseline_manual_29c_43h_approved,train,29C 43%,29C 43%,29C,29.00,43,true,0.4971,17.82,37.74,3.11,human_confirmed_approved_29c_43h
