sample_id,image_path,lighting_label,framesize,quality,brightness,contrast,saturation,aec,agc,awb,http_code,bytes,captured_at_utc,display_text,notes
capture_0001,tools/dataset/captures/approved_29c_43h_20260625T185939Z/capture_0001.jpg,baseline_manual_29c_43h_approved,vga,12,2,2,,0,0,0,200,18512,2026-06-25T18:59:40Z,,
capture_0002,tools/dataset/captures/approved_29c_43h_20260625T185939Z/capture_0002.jpg,baseline_manual_29c_43h_approved,vga,12,2,2,,0,0,0,200,17917,2026-06-25T18:59:41Z,,
capture_0003,tools/dataset/captures/approved_29c_43h_20260625T185939Z/capture_0003.jpg,baseline_manual_29c_43h_approved,vga,12,2,2,,0,0,0,200,17838,2026-06-25T18:59:42Z,,
capture_0004,tools/dataset/captures/approved_29c_43h_20260625T185939Z/capture_0004.jpg,baseline_manual_29c_43h_approved,vga,12,2,2,,0,0,0,200,18272,2026-06-25T18:59:43Z,,
capture_0005,tools/dataset/captures/approved_29c_43h_20260625T185939Z/capture_0005.jpg,baseline_manual_29c_43h_approved,vga,12,2,2,,0,0,0,200,18387,2026-06-25T18:59:45Z,,
capture_0006,tools/dataset/captures/approved_29c_43h_20260625T185939Z/capture_0006.jpg,baseline_manual_29c_43h_approved,vga,12,2,2,,0,0,0,200,18276,2026-06-25T18:59:46Z,,
capture_0007,tools/dataset/captures/approved_29c_43h_20260625T185939Z/capture_0007.jpg,baseline_manual_29c_43h_approved,vga,12,2,2,,0,0,0,200,17998,2026-06-25T18:59:47Z,,
capture_0008,tools/dataset/captures/approved_29c_43h_20260625T185939Z/capture_0008.jpg,baseline_manual_29c_43h_approved,vga,12,2,2,,0,0,0,200,18370,2026-06-25T18:59:48Z,,
capture_0009,tools/dataset/captures/approved_29c_43h_20260625T185939Z/capture_0009.jpg,baseline_manual_29c_43h_approved,vga,12,2,2,,0,0,0,200,18239,2026-06-25T18:59:50Z,,
capture_0010,tools/dataset/captures/approved_29c_43h_20260625T185939Z/capture_0010.jpg,baseline_manual_29c_43h_approved,vga,12,2,2,,0,0,0,200,18022,2026-06-25T18:59:51Z,,
capture_0011,tools/dataset/captures/approved_29c_43h_20260625T185939Z/capture_0011.jpg,baseline_manual_29c_43h_approved,vga,12,2,2,,0,0,0,200,18004,2026-06-25T18:59:52Z,,
capture_0012,tools/dataset/captures/approved_29c_43h_20260625T185939Z/capture_0012.jpg,baseline_manual_29c_43h_approved,vga,12,2,2,,0,0,0,200,17923,2026-06-25T18:59:54Z,,
capture_0013,tools/dataset/captures/approved_29c_43h_20260625T185939Z/capture_0013.jpg,baseline_manual_29c_43h_approved,vga,12,2,2,,0,0,0,200,18287,2026-06-25T18:59:55Z,,
capture_0014,tools/dataset/captures/approved_29c_43h_20260625T185939Z/capture_0014.jpg,baseline_manual_29c_43h_approved,vga,12,2,2,,0,0,0,200,18032,2026-06-25T18:59:56Z,,
capture_0015,tools/dataset/captures/approved_29c_43h_20260625T185939Z/capture_0015.jpg,baseline_manual_29c_43h_approved,vga,12,2,2,,0,0,0,200,17873,2026-06-25T18:59:57Z,,
capture_0016,tools/dataset/captures/approved_29c_43h_20260625T185939Z/capture_0016.jpg,baseline_manual_29c_43h_approved,vga,12,2,2,,0,0,0,200,17966,2026-06-25T18:59:59Z,,
capture_0017,tools/dataset/captures/approved_29c_43h_20260625T185939Z/capture_0017.jpg,baseline_manual_29c_43h_approved,vga,12,2,2,,0,0,0,200,17893,2026-06-25T19:00:00Z,,
capture_0018,tools/dataset/captures/approved_29c_43h_20260625T185939Z/capture_0018.jpg,baseline_manual_29c_43h_approved,vga,12,2,2,,0,0,0,200,17996,2026-06-25T19:00:01Z,,
capture_0019,tools/dataset/captures/approved_29c_43h_20260625T185939Z/capture_0019.jpg,baseline_manual_29c_43h_approved,vga,12,2,2,,0,0,0,200,18428,2026-06-25T19:00:02Z,,
capture_0020,tools/dataset/captures/approved_29c_43h_20260625T185939Z/capture_0020.jpg,baseline_manual_29c_43h_approved,vga,12,2,2,,0,0,0,200,17928,2026-06-25T19:00:03Z,,
capture_0021,tools/dataset/captures/approved_29c_43h_20260625T185939Z/capture_0021.jpg,baseline_manual_29c_43h_approved,vga,12,2,2,,0,0,0,200,17859,2026-06-25T19:00:05Z,,
capture_0022,tools/dataset/captures/approved_29c_43h_20260625T185939Z/capture_0022.jpg,baseline_manual_29c_43h_approved,vga,12,2,2,,0,0,0,200,17889,2026-06-25T19:00:06Z,,
capture_0023,tools/dataset/captures/approved_29c_43h_20260625T185939Z/capture_0023.jpg,baseline_manual_29c_43h_approved,vga,12,2,2,,0,0,0,200,18496,2026-06-25T19:00:07Z,,
capture_0024,tools/dataset/captures/approved_29c_43h_20260625T185939Z/capture_0024.jpg,baseline_manual_29c_43h_approved,vga,12,2,2,,0,0,0,200,17817,2026-06-25T19:00:08Z,,
capture_0025,tools/dataset/captures/approved_29c_43h_20260625T185939Z/capture_0025.jpg,baseline_manual_29c_43h_approved,vga,12,2,2,,0,0,0,200,17796,2026-06-25T19:00:10Z,,
capture_0026,tools/dataset/captures/approved_29c_43h_20260625T185939Z/capture_0026.jpg,baseline_manual_29c_43h_approved,vga,12,2,2,,0,0,0,200,18422,2026-06-25T19:00:11Z,,
capture_0027,tools/dataset/captures/approved_29c_43h_20260625T185939Z/capture_0027.jpg,baseline_manual_29c_43h_approved,vga,12,2,2,,0,0,0,200,17869,2026-06-25T19:00:12Z,,
capture_0028,tools/dataset/captures/approved_29c_43h_20260625T185939Z/capture_0028.jpg,baseline_manual_29c_43h_approved,vga,12,2,2,,0,0,0,200,18367,2026-06-25T19:00:13Z,,
capture_0029,tools/dataset/captures/approved_29c_43h_20260625T185939Z/capture_0029.jpg,baseline_manual_29c_43h_approved,vga,12,2,2,,0,0,0,200,17810,2026-06-25T19:00:14Z,,
capture_0030,tools/dataset/captures/approved_29c_43h_20260625T185939Z/capture_0030.jpg,baseline_manual_29c_43h_approved,vga,12,2,2,,0,0,0,200,17660,2026-06-25T19:00:16Z,,
capture_0031,tools/dataset/captures/approved_29c_43h_20260625T185939Z/capture_0031.jpg,baseline_manual_29c_43h_approved,vga,12,2,2,,0,0,0,200,17740,2026-06-25T19:00:17Z,,
capture_0032,tools/dataset/captures/approved_29c_43h_20260625T185939Z/capture_0032.jpg,baseline_manual_29c_43h_approved,vga,12,2,2,,0,0,0,200,17663,2026-06-25T19:00:18Z,,
capture_0033,tools/dataset/captures/approved_29c_43h_20260625T185939Z/capture_0033.jpg,baseline_manual_29c_43h_approved,vga,12,2,2,,0,0,0,200,17913,2026-06-25T19:00:19Z,,
capture_0034,tools/dataset/captures/approved_29c_43h_20260625T185939Z/capture_0034.jpg,baseline_manual_29c_43h_approved,vga,12,2,2,,0,0,0,200,18411,2026-06-25T19:00:21Z,,
capture_0035,tools/dataset/captures/approved_29c_43h_20260625T185939Z/capture_0035.jpg,baseline_manual_29c_43h_approved,vga,12,2,2,,0,0,0,200,18062,2026-06-25T19:00:23Z,,
capture_0036,tools/dataset/captures/approved_29c_43h_20260625T185939Z/capture_0036.jpg,baseline_manual_29c_43h_approved,vga,12,2,2,,0,0,0,200,17933,2026-06-25T19:00:24Z,,
capture_0037,tools/dataset/captures/approved_29c_43h_20260625T185939Z/capture_0037.jpg,baseline_manual_29c_43h_approved,vga,12,2,2,,0,0,0,200,18078,2026-06-25T19:00:25Z,,
capture_0038,tools/dataset/captures/approved_29c_43h_20260625T185939Z/capture_0038.jpg,baseline_manual_29c_43h_approved,vga,12,2,2,,0,0,0,200,17905,2026-06-25T19:00:26Z,,
capture_0039,tools/dataset/captures/approved_29c_43h_20260625T185939Z/capture_0039.jpg,baseline_manual_29c_43h_approved,vga,12,2,2,,0,0,0,200,18061,2026-06-25T19:00:27Z,,
capture_0040,tools/dataset/captures/approved_29c_43h_20260625T185939Z/capture_0040.jpg,baseline_manual_29c_43h_approved,vga,12,2,2,,0,0,0,200,18218,2026-06-25T19:00:29Z,,
