sample_id,image_path,lighting_label,split,display_text,predicted_display_text,temperature_text,temperature_c,humidity_percent,valid,confidence,roi_brightness,roi_contrast,roi_sharpness,notes
capture_0001,tools/dataset/captures/baseline_20260625T182331Z/capture_0001.jpg,baseline_2p4_wifi,train,30C 44%,30C 44%,30C,30.00,44,true,0.5097,32.69,36.61,3.40,human_confirmed_fixed_layout_baseline
capture_0002,tools/dataset/captures/baseline_20260625T182331Z/capture_0002.jpg,baseline_2p4_wifi,train,30C 44%,30C 44%,30C,30.00,44,true,0.5128,30.82,36.97,3.46,human_confirmed_fixed_layout_baseline
capture_0003,tools/dataset/captures/baseline_20260625T182331Z/capture_0003.jpg,baseline_2p4_wifi,train,30C 44%,30C 44%,30C,30.00,44,true,0.5103,29.44,37.05,3.39,human_confirmed_fixed_layout_baseline
capture_0004,tools/dataset/captures/baseline_20260625T182331Z/capture_0004.jpg,baseline_2p4_wifi,train,30C 44%,30C 44%,30C,30.00,44,true,0.1563,9.39,10.13,0.89,human_confirmed_fixed_layout_baseline;low_roi_quality
capture_0005,tools/dataset/captures/baseline_20260625T182331Z/capture_0005.jpg,baseline_2p4_wifi,validation,30C 44%,30C 44%,30C,30.00,44,true,0.0994,6.72,5.75,0.49,human_confirmed_fixed_layout_baseline;low_roi_quality
capture_0006,tools/dataset/captures/baseline_20260625T182331Z/capture_0006.jpg,baseline_2p4_wifi,train,30C 44%,30C 44%,30C,30.00,44,true,0.1836,10.17,12.45,1.03,human_confirmed_fixed_layout_baseline;low_roi_quality
capture_0007,tools/dataset/captures/baseline_20260625T182331Z/capture_0007.jpg,baseline_2p4_wifi,train,30C 44%,30C 44%,30C,30.00,44,true,0.0956,5.97,5.53,0.46,human_confirmed_fixed_layout_baseline;low_roi_quality
capture_0008,tools/dataset/captures/baseline_20260625T182331Z/capture_0008.jpg,baseline_2p4_wifi,train,30C 44%,30C 44%,30C,30.00,44,true,0.1660,9.80,10.96,0.93,human_confirmed_fixed_layout_baseline;low_roi_quality
capture_0009,tools/dataset/captures/baseline_20260625T182331Z/capture_0009.jpg,baseline_2p4_wifi,train,30C 44%,30C 44%,30C,30.00,44,true,0.3247,18.49,23.24,1.98,human_confirmed_fixed_layout_baseline;low_roi_quality
capture_0010,tools/dataset/captures/baseline_20260625T182331Z/capture_0010.jpg,baseline_2p4_wifi,test,30C 44%,30C 44%,30C,30.00,44,true,0.2905,17.29,20.37,1.81,human_confirmed_fixed_layout_baseline;low_roi_quality
capture_0011,tools/dataset/captures/baseline_20260625T182331Z/capture_0011.jpg,baseline_2p4_wifi,train,30C 44%,30C 44%,30C,30.00,44,true,0.1616,9.62,10.59,0.91,human_confirmed_fixed_layout_baseline;low_roi_quality
capture_0012,tools/dataset/captures/baseline_20260625T182331Z/capture_0012.jpg,baseline_2p4_wifi,train,30C 44%,30C 44%,30C,30.00,44,true,0.3258,18.36,23.31,2.00,human_confirmed_fixed_layout_baseline;low_roi_quality
capture_0013,tools/dataset/captures/baseline_20260625T182331Z/capture_0013.jpg,baseline_2p4_wifi,train,30C 44%,30C 44%,30C,30.00,44,true,0.0963,6.52,5.51,0.47,human_confirmed_fixed_layout_baseline;low_roi_quality
capture_0014,tools/dataset/captures/baseline_20260625T182331Z/capture_0014.jpg,baseline_2p4_wifi,train,30C 44%,30C 44%,30C,30.00,44,true,0.1663,9.97,10.94,0.94,human_confirmed_fixed_layout_baseline;low_roi_quality
capture_0015,tools/dataset/captures/baseline_20260625T182331Z/capture_0015.jpg,baseline_2p4_wifi,validation,30C 44%,30C 44%,30C,30.00,44,true,0.3232,18.40,23.08,1.99,human_confirmed_fixed_layout_baseline;low_roi_quality
capture_0016,tools/dataset/captures/baseline_20260625T182331Z/capture_0016.jpg,baseline_2p4_wifi,train,30C 44%,30C 44%,30C,30.00,44,true,0.1005,6.71,5.90,0.48,human_confirmed_fixed_layout_baseline;low_roi_quality
capture_0017,tools/dataset/captures/baseline_20260625T182331Z/capture_0017.jpg,baseline_2p4_wifi,train,30C 44%,30C 44%,30C,30.00,44,true,0.1634,10.30,10.63,0.94,human_confirmed_fixed_layout_baseline;low_roi_quality
capture_0018,tools/dataset/captures/baseline_20260625T182331Z/capture_0018.jpg,baseline_2p4_wifi,train,30C 44%,30C 44%,30C,30.00,44,true,0.1058,6.87,6.28,0.52,human_confirmed_fixed_layout_baseline;low_roi_quality
capture_0019,tools/dataset/captures/baseline_20260625T182331Z/capture_0019.jpg,baseline_2p4_wifi,train,30C 44%,30C 44%,30C,30.00,44,true,0.0997,6.71,5.81,0.48,human_confirmed_fixed_layout_baseline;low_roi_quality
capture_0020,tools/dataset/captures/baseline_20260625T182331Z/capture_0020.jpg,baseline_2p4_wifi,test,30C 44%,30C 44%,30C,30.00,44,true,0.1593,9.59,10.37,0.91,human_confirmed_fixed_layout_baseline;low_roi_quality
capture_0021,tools/dataset/captures/baseline_20260625T182331Z/capture_0021.jpg,baseline_2p4_wifi,train,30C 44%,30C 44%,30C,30.00,44,true,0.1062,7.02,6.25,0.55,human_confirmed_fixed_layout_baseline;low_roi_quality
capture_0022,tools/dataset/captures/baseline_20260625T182331Z/capture_0022.jpg,baseline_2p4_wifi,train,30C 44%,30C 44%,30C,30.00,44,true,0.0964,6.39,5.54,0.47,human_confirmed_fixed_layout_baseline;low_roi_quality
capture_0023,tools/dataset/captures/baseline_20260625T182331Z/capture_0023.jpg,baseline_2p4_wifi,train,30C 44%,30C 44%,30C,30.00,44,true,0.1723,11.19,11.32,0.98,human_confirmed_fixed_layout_baseline;low_roi_quality
capture_0024,tools/dataset/captures/baseline_20260625T182331Z/capture_0024.jpg,baseline_2p4_wifi,train,30C 44%,30C 44%,30C,30.00,44,true,0.3176,19.51,22.41,1.99,human_confirmed_fixed_layout_baseline;low_roi_quality
capture_0025,tools/dataset/captures/baseline_20260625T182331Z/capture_0025.jpg,baseline_2p4_wifi,validation,30C 44%,30C 44%,30C,30.00,44,true,0.0933,6.62,5.21,0.47,human_confirmed_fixed_layout_baseline;low_roi_quality
capture_0026,tools/dataset/captures/baseline_20260625T182331Z/capture_0026.jpg,baseline_2p4_wifi,train,30C 44%,30C 44%,30C,30.00,44,true,0.1692,9.93,11.22,0.95,human_confirmed_fixed_layout_baseline;low_roi_quality
capture_0027,tools/dataset/captures/baseline_20260625T182331Z/capture_0027.jpg,baseline_2p4_wifi,train,30C 44%,30C 44%,30C,30.00,44,true,0.1842,10.31,12.48,1.03,human_confirmed_fixed_layout_baseline;low_roi_quality
capture_0028,tools/dataset/captures/baseline_20260625T182331Z/capture_0028.jpg,baseline_2p4_wifi,train,30C 44%,30C 44%,30C,30.00,44,true,0.0929,6.72,5.15,0.47,human_confirmed_fixed_layout_baseline;low_roi_quality
capture_0029,tools/dataset/captures/baseline_20260625T182331Z/capture_0029.jpg,baseline_2p4_wifi,train,30C 44%,30C 44%,30C,30.00,44,true,0.1718,10.05,11.43,0.96,human_confirmed_fixed_layout_baseline;low_roi_quality
