sample_id,image_path,lighting_label,split,display_text,predicted_display_text,temperature_text,temperature_c,humidity_percent,valid,confidence,roi_brightness,roi_contrast,roi_sharpness,notes
capture_0001,tools/dataset/captures/daylight_changed_29c_43h_20260625T191248Z/capture_0001.jpg,changed_daylight_manual_29c_43h,train,29C 49%,29C 49%,29C,29.00,49,true,0.5221,19.87,39.35,3.37,human_confirmed_changed_daylight_29c_43h;range_relabelled
capture_0002,tools/dataset/captures/daylight_changed_29c_43h_20260625T191248Z/capture_0002.jpg,changed_daylight_manual_29c_43h,train,29C 49%,29C 49%,29C,29.00,49,true,0.5228,19.87,39.43,3.36,human_confirmed_changed_daylight_29c_43h;range_relabelled
capture_0003,tools/dataset/captures/daylight_changed_29c_43h_20260625T191248Z/capture_0003.jpg,changed_daylight_manual_29c_43h,train,29C 49%,29C 49%,29C,29.00,49,true,0.5211,19.67,39.27,3.37,human_confirmed_changed_daylight_29c_43h;range_relabelled
capture_0004,tools/dataset/captures/daylight_changed_29c_43h_20260625T191248Z/capture_0004.jpg,changed_daylight_manual_29c_43h,train,29C 49%,29C 49%,29C,29.00,49,true,0.5244,19.85,39.54,3.39,human_confirmed_changed_daylight_29c_43h;range_relabelled
capture_0005,tools/dataset/captures/daylight_changed_29c_43h_20260625T191248Z/capture_0005.jpg,changed_daylight_manual_29c_43h,validation,29C 49%,29C 49%,29C,29.00,49,true,0.5226,19.76,39.43,3.36,human_confirmed_changed_daylight_29c_43h;range_relabelled
capture_0006,tools/dataset/captures/daylight_changed_29c_43h_20260625T191248Z/capture_0006.jpg,changed_daylight_manual_29c_43h,train,29C 49%,29C 49%,29C,29.00,49,true,0.5205,19.58,39.25,3.36,human_confirmed_changed_daylight_29c_43h;range_relabelled
capture_0007,tools/dataset/captures/daylight_changed_29c_43h_20260625T191248Z/capture_0007.jpg,changed_daylight_manual_29c_43h,train,29C 49%,29C 49%,29C,29.00,49,true,0.5169,19.54,39.01,3.31,human_confirmed_changed_daylight_29c_43h;range_relabelled
capture_0008,tools/dataset/captures/daylight_changed_29c_43h_20260625T191248Z/capture_0008.jpg,changed_daylight_manual_29c_43h,train,29C 49%,29C 49%,29C,29.00,49,true,0.5217,19.73,39.34,3.37,human_confirmed_changed_daylight_29c_43h;range_relabelled
capture_0009,tools/dataset/captures/daylight_changed_29c_43h_20260625T191248Z/capture_0009.jpg,changed_daylight_manual_29c_43h,train,29C 49%,29C 49%,29C,29.00,49,true,0.5199,19.68,39.23,3.34,human_confirmed_changed_daylight_29c_43h;range_relabelled
capture_0010,tools/dataset/captures/daylight_changed_29c_43h_20260625T191248Z/capture_0010.jpg,changed_daylight_manual_29c_43h,test,29C 49%,29C 49%,29C,29.00,49,true,0.5185,19.70,39.16,3.31,human_confirmed_changed_daylight_29c_43h;range_relabelled
capture_0011,tools/dataset/captures/daylight_changed_29c_43h_20260625T191248Z/capture_0011.jpg,changed_daylight_manual_29c_43h,train,29C 49%,29C 49%,29C,29.00,49,true,0.5229,19.86,39.42,3.37,human_confirmed_changed_daylight_29c_43h;range_relabelled
capture_0012,tools/dataset/captures/daylight_changed_29c_43h_20260625T191248Z/capture_0012.jpg,changed_daylight_manual_29c_43h,train,29C 49%,29C 49%,29C,29.00,49,true,0.5216,19.76,39.30,3.37,human_confirmed_changed_daylight_29c_43h;range_relabelled
capture_0013,tools/dataset/captures/daylight_changed_29c_43h_20260625T191248Z/capture_0013.jpg,changed_daylight_manual_29c_43h,train,29C 49%,29C 49%,29C,29.00,49,true,0.5243,19.93,39.49,3.40,human_confirmed_changed_daylight_29c_43h;range_relabelled
capture_0014,tools/dataset/captures/daylight_changed_29c_43h_20260625T191248Z/capture_0014.jpg,changed_daylight_manual_29c_43h,train,29C 49%,29C 49%,29C,29.00,49,true,0.5245,20.00,39.50,3.40,human_confirmed_changed_daylight_29c_43h;range_relabelled
capture_0015,tools/dataset/captures/daylight_changed_29c_43h_20260625T191248Z/capture_0015.jpg,changed_daylight_manual_29c_43h,validation,29C 49%,29C 49%,29C,29.00,49,true,0.5235,19.97,39.42,3.40,human_confirmed_changed_daylight_29c_43h;range_relabelled
capture_0016,tools/dataset/captures/daylight_changed_29c_43h_20260625T191248Z/capture_0016.jpg,changed_daylight_manual_29c_43h,train,29C 48%,29C 48%,29C,29.00,48,true,0.5248,20.02,39.59,3.38,human_confirmed_changed_daylight_29c_43h;range_relabelled
capture_0017,tools/dataset/captures/daylight_changed_29c_43h_20260625T191248Z/capture_0017.jpg,changed_daylight_manual_29c_43h,train,29C 48%,29C 48%,29C,29.00,48,true,0.5251,20.10,39.59,3.38,human_confirmed_changed_daylight_29c_43h;range_relabelled
capture_0018,tools/dataset/captures/daylight_changed_29c_43h_20260625T191248Z/capture_0018.jpg,changed_daylight_manual_29c_43h,train,29C 48%,29C 48%,29C,29.00,48,false,0.5269,20.09,39.76,3.39,human_confirmed_changed_daylight_29c_43h;range_relabelled;invalid_visual_contact_sheet
capture_0019,tools/dataset/captures/daylight_changed_29c_43h_20260625T191248Z/capture_0019.jpg,changed_daylight_manual_29c_43h,train,29C 48%,29C 48%,29C,29.00,48,true,0.0301,1.32,0.51,0.05,human_confirmed_changed_daylight_29c_43h;low_roi_quality;range_relabelled
capture_0020,tools/dataset/captures/daylight_changed_29c_43h_20260625T191248Z/capture_0020.jpg,changed_daylight_manual_29c_43h,test,29C 48%,29C 48%,29C,29.00,48,true,0.5233,20.05,39.46,3.36,human_confirmed_changed_daylight_29c_43h;range_relabelled
