sample_id,image_path,lighting_label,framesize,quality,brightness,contrast,saturation,aec,agc,awb,http_code,bytes,captured_at_utc,display_text,notes
capture_0001,tools/dataset/captures/daylight_changed_29c_43h_20260625T191248Z/capture_0001.jpg,changed_daylight_manual_29c_43h,vga,12,2,2,,0,0,0,200,18121,2026-06-25T19:12:48Z,,
capture_0002,tools/dataset/captures/daylight_changed_29c_43h_20260625T191248Z/capture_0002.jpg,changed_daylight_manual_29c_43h,vga,12,2,2,,0,0,0,200,18458,2026-06-25T19:12:49Z,,
capture_0003,tools/dataset/captures/daylight_changed_29c_43h_20260625T191248Z/capture_0003.jpg,changed_daylight_manual_29c_43h,vga,12,2,2,,0,0,0,200,18190,2026-06-25T19:12:51Z,,
capture_0004,tools/dataset/captures/daylight_changed_29c_43h_20260625T191248Z/capture_0004.jpg,changed_daylight_manual_29c_43h,vga,12,2,2,,0,0,0,200,18224,2026-06-25T19:12:52Z,,
capture_0005,tools/dataset/captures/daylight_changed_29c_43h_20260625T191248Z/capture_0005.jpg,changed_daylight_manual_29c_43h,vga,12,2,2,,0,0,0,200,18240,2026-06-25T19:12:53Z,,
capture_0006,tools/dataset/captures/daylight_changed_29c_43h_20260625T191248Z/capture_0006.jpg,changed_daylight_manual_29c_43h,vga,12,2,2,,0,0,0,200,18113,2026-06-25T19:12:55Z,,
capture_0007,tools/dataset/captures/daylight_changed_29c_43h_20260625T191248Z/capture_0007.jpg,changed_daylight_manual_29c_43h,vga,12,2,2,,0,0,0,200,18068,2026-06-25T19:12:56Z,,
capture_0008,tools/dataset/captures/daylight_changed_29c_43h_20260625T191248Z/capture_0008.jpg,changed_daylight_manual_29c_43h,vga,12,2,2,,0,0,0,200,18158,2026-06-25T19:12:58Z,,
capture_0009,tools/dataset/captures/daylight_changed_29c_43h_20260625T191248Z/capture_0009.jpg,changed_daylight_manual_29c_43h,vga,12,2,2,,0,0,0,200,18206,2026-06-25T19:12:59Z,,
capture_0010,tools/dataset/captures/daylight_changed_29c_43h_20260625T191248Z/capture_0010.jpg,changed_daylight_manual_29c_43h,vga,12,2,2,,0,0,0,200,18484,2026-06-25T19:13:00Z,,
capture_0011,tools/dataset/captures/daylight_changed_29c_43h_20260625T191248Z/capture_0011.jpg,changed_daylight_manual_29c_43h,vga,12,2,2,,0,0,0,200,18079,2026-06-25T19:13:01Z,,
capture_0012,tools/dataset/captures/daylight_changed_29c_43h_20260625T191248Z/capture_0012.jpg,changed_daylight_manual_29c_43h,vga,12,2,2,,0,0,0,200,18853,2026-06-25T19:13:03Z,,
capture_0013,tools/dataset/captures/daylight_changed_29c_43h_20260625T191248Z/capture_0013.jpg,changed_daylight_manual_29c_43h,vga,12,2,2,,0,0,0,200,18626,2026-06-25T19:13:04Z,,
capture_0014,tools/dataset/captures/daylight_changed_29c_43h_20260625T191248Z/capture_0014.jpg,changed_daylight_manual_29c_43h,vga,12,2,2,,0,0,0,200,18285,2026-06-25T19:13:05Z,,
capture_0015,tools/dataset/captures/daylight_changed_29c_43h_20260625T191248Z/capture_0015.jpg,changed_daylight_manual_29c_43h,vga,12,2,2,,0,0,0,200,18308,2026-06-25T19:13:07Z,,
capture_0016,tools/dataset/captures/daylight_changed_29c_43h_20260625T191248Z/capture_0016.jpg,changed_daylight_manual_29c_43h,vga,12,2,2,,0,0,0,200,19042,2026-06-25T19:13:08Z,,
