sample_id,image_path,temperature_c,humidity_percent,co2_ppm,hcho_raw,tvoc_raw,valid,split,notes,review_status,reviewer,reviewed_at_utc
negative_0001_blur,tools/dataset/captures/generated_negative_20260721/negative_0001_blur.jpg,,,,,,false,test,auto_negative_blur,automated_consensus,auto-consensus,2026-07-21T20:18:14+00:00
negative_0002_exposure,tools/dataset/captures/generated_negative_20260721/negative_0002_exposure.jpg,,,,,,false,test,auto_negative_exposure,automated_consensus,auto-consensus,2026-07-21T20:18:14+00:00
negative_0003_occlusion,tools/dataset/captures/generated_negative_20260721/negative_0003_occlusion.jpg,,,,,,false,test,auto_negative_occlusion,automated_consensus,auto-consensus,2026-07-21T20:18:14+00:00
negative_0004_partial,tools/dataset/captures/generated_negative_20260721/negative_0004_partial.jpg,,,,,,false,test,auto_negative_partial,automated_consensus,auto-consensus,2026-07-21T20:18:14+00:00
negative_0005_blur,tools/dataset/captures/generated_negative_20260721/negative_0005_blur.jpg,,,,,,false,test,auto_negative_blur,automated_consensus,auto-consensus,2026-07-21T20:18:14+00:00
negative_0006_exposure,tools/dataset/captures/generated_negative_20260721/negative_0006_exposure.jpg,,,,,,false,test,auto_negative_exposure,automated_consensus,auto-consensus,2026-07-21T20:18:14+00:00
negative_0007_occlusion,tools/dataset/captures/generated_negative_20260721/negative_0007_occlusion.jpg,,,,,,false,test,auto_negative_occlusion,automated_consensus,auto-consensus,2026-07-21T20:18:14+00:00
negative_0008_partial,tools/dataset/captures/generated_negative_20260721/negative_0008_partial.jpg,,,,,,false,test,auto_negative_partial,automated_consensus,auto-consensus,2026-07-21T20:18:14+00:00
negative_0009_blur,tools/dataset/captures/generated_negative_20260721/negative_0009_blur.jpg,,,,,,false,test,auto_negative_blur,automated_consensus,auto-consensus,2026-07-21T20:18:14+00:00
negative_0010_exposure,tools/dataset/captures/generated_negative_20260721/negative_0010_exposure.jpg,,,,,,false,test,auto_negative_exposure,automated_consensus,auto-consensus,2026-07-21T20:18:14+00:00
negative_0011_occlusion,tools/dataset/captures/generated_negative_20260721/negative_0011_occlusion.jpg,,,,,,false,test,auto_negative_occlusion,automated_consensus,auto-consensus,2026-07-21T20:18:14+00:00
negative_0012_partial,tools/dataset/captures/generated_negative_20260721/negative_0012_partial.jpg,,,,,,false,test,auto_negative_partial,automated_consensus,auto-consensus,2026-07-21T20:18:14+00:00
negative_0013_blur,tools/dataset/captures/generated_negative_20260721/negative_0013_blur.jpg,,,,,,false,test,auto_negative_blur,automated_consensus,auto-consensus,2026-07-21T20:18:14+00:00
negative_0014_exposure,tools/dataset/captures/generated_negative_20260721/negative_0014_exposure.jpg,,,,,,false,test,auto_negative_exposure,automated_consensus,auto-consensus,2026-07-21T20:18:14+00:00
negative_0015_occlusion,tools/dataset/captures/generated_negative_20260721/negative_0015_occlusion.jpg,,,,,,false,test,auto_negative_occlusion,automated_consensus,auto-consensus,2026-07-21T20:18:14+00:00
negative_0016_partial,tools/dataset/captures/generated_negative_20260721/negative_0016_partial.jpg,,,,,,false,test,auto_negative_partial,automated_consensus,auto-consensus,2026-07-21T20:18:14+00:00
negative_0017_blur,tools/dataset/captures/generated_negative_20260721/negative_0017_blur.jpg,,,,,,false,test,auto_negative_blur,automated_consensus,auto-consensus,2026-07-21T20:18:14+00:00
negative_0018_exposure,tools/dataset/captures/generated_negative_20260721/negative_0018_exposure.jpg,,,,,,false,test,auto_negative_exposure,automated_consensus,auto-consensus,2026-07-21T20:18:14+00:00
negative_0019_occlusion,tools/dataset/captures/generated_negative_20260721/negative_0019_occlusion.jpg,,,,,,false,test,auto_negative_occlusion,automated_consensus,auto-consensus,2026-07-21T20:18:14+00:00
negative_0020_partial,tools/dataset/captures/generated_negative_20260721/negative_0020_partial.jpg,,,,,,false,test,auto_negative_partial,automated_consensus,auto-consensus,2026-07-21T20:18:14+00:00
negative_0021_blur,tools/dataset/captures/generated_negative_20260721/negative_0021_blur.jpg,,,,,,false,test,auto_negative_blur,automated_consensus,auto-consensus,2026-07-21T20:18:14+00:00
negative_0022_exposure,tools/dataset/captures/generated_negative_20260721/negative_0022_exposure.jpg,,,,,,false,test,auto_negative_exposure,automated_consensus,auto-consensus,2026-07-21T20:18:14+00:00
negative_0023_occlusion,tools/dataset/captures/generated_negative_20260721/negative_0023_occlusion.jpg,,,,,,false,test,auto_negative_occlusion,automated_consensus,auto-consensus,2026-07-21T20:18:14+00:00
negative_0024_partial,tools/dataset/captures/generated_negative_20260721/negative_0024_partial.jpg,,,,,,false,test,auto_negative_partial,automated_consensus,auto-consensus,2026-07-21T20:18:14+00:00
negative_0025_blur,tools/dataset/captures/generated_negative_20260721/negative_0025_blur.jpg,,,,,,false,test,auto_negative_blur,automated_consensus,auto-consensus,2026-07-21T20:18:14+00:00
negative_0026_exposure,tools/dataset/captures/generated_negative_20260721/negative_0026_exposure.jpg,,,,,,false,test,auto_negative_exposure,automated_consensus,auto-consensus,2026-07-21T20:18:14+00:00
negative_0027_occlusion,tools/dataset/captures/generated_negative_20260721/negative_0027_occlusion.jpg,,,,,,false,test,auto_negative_occlusion,automated_consensus,auto-consensus,2026-07-21T20:18:14+00:00
negative_0028_partial,tools/dataset/captures/generated_negative_20260721/negative_0028_partial.jpg,,,,,,false,test,auto_negative_partial,automated_consensus,auto-consensus,2026-07-21T20:18:14+00:00
negative_0029_blur,tools/dataset/captures/generated_negative_20260721/negative_0029_blur.jpg,,,,,,false,test,auto_negative_blur,automated_consensus,auto-consensus,2026-07-21T20:18:14+00:00
negative_0030_exposure,tools/dataset/captures/generated_negative_20260721/negative_0030_exposure.jpg,,,,,,false,test,auto_negative_exposure,automated_consensus,auto-consensus,2026-07-21T20:18:14+00:00
negative_0031_occlusion,tools/dataset/captures/generated_negative_20260721/negative_0031_occlusion.jpg,,,,,,false,test,auto_negative_occlusion,automated_consensus,auto-consensus,2026-07-21T20:18:14+00:00
negative_0032_partial,tools/dataset/captures/generated_negative_20260721/negative_0032_partial.jpg,,,,,,false,test,auto_negative_partial,automated_consensus,auto-consensus,2026-07-21T20:18:14+00:00
negative_0033_blur,tools/dataset/captures/generated_negative_20260721/negative_0033_blur.jpg,,,,,,false,test,auto_negative_blur,automated_consensus,auto-consensus,2026-07-21T20:18:14+00:00
negative_0034_exposure,tools/dataset/captures/generated_negative_20260721/negative_0034_exposure.jpg,,,,,,false,test,auto_negative_exposure,automated_consensus,auto-consensus,2026-07-21T20:18:14+00:00
negative_0035_occlusion,tools/dataset/captures/generated_negative_20260721/negative_0035_occlusion.jpg,,,,,,false,test,auto_negative_occlusion,automated_consensus,auto-consensus,2026-07-21T20:18:14+00:00
