sample_id,image_path,temperature_c,humidity_percent,co2_ppm,hcho_raw,tvoc_raw,valid,split,notes,review_status,reviewer,reviewed_at_utc,proposal_model,prompt_version,source_proposals,consensus_status,consensus_reason,consensus_models,consensus_votes
capture_0001,tools/dataset/captures/http_300_aqs_20260626T2040Z/capture_0001.jpg,,,,,,false,train,,excluded,auto-consensus,2026-07-21T20:11:18+00:00,,,tools/dataset/captures/http_300_aqs_20260626T2040Z/labels_ollama_proposals.csv,excluded,no_valid_votes,qwen3-vl:4b,0
capture_0002,tools/dataset/captures/http_300_aqs_20260626T2040Z/capture_0002.jpg,,,,,,false,train,,excluded,auto-consensus,2026-07-21T20:11:18+00:00,,,tools/dataset/captures/http_300_aqs_20260626T2040Z/labels_ollama_proposals.csv,excluded,no_valid_votes,qwen3-vl:4b,0
capture_0003,tools/dataset/captures/http_300_aqs_20260626T2040Z/capture_0003.jpg,,,,,,false,train,,excluded,auto-consensus,2026-07-21T20:11:18+00:00,,,tools/dataset/captures/http_300_aqs_20260626T2040Z/labels_ollama_proposals.csv,excluded,no_valid_votes,qwen3-vl:4b,0
capture_0004,tools/dataset/captures/http_300_aqs_20260626T2040Z/capture_0004.jpg,,,,,,false,train,,excluded,auto-consensus,2026-07-21T20:11:18+00:00,,,tools/dataset/captures/http_300_aqs_20260626T2040Z/labels_ollama_proposals.csv,excluded,no_valid_votes,qwen3-vl:4b,0
capture_0005,tools/dataset/captures/http_300_aqs_20260626T2040Z/capture_0005.jpg,,,,,,false,train,,excluded,auto-consensus,2026-07-21T20:11:18+00:00,,,tools/dataset/captures/http_300_aqs_20260626T2040Z/labels_ollama_proposals.csv,excluded,no_valid_votes,qwen3-vl:4b,0
capture_0006,tools/dataset/captures/http_300_aqs_20260626T2040Z/capture_0006.jpg,,,,,,false,train,,excluded,auto-consensus,2026-07-21T20:11:18+00:00,,,tools/dataset/captures/http_300_aqs_20260626T2040Z/labels_ollama_proposals.csv,excluded,no_valid_votes,qwen3-vl:4b,0
capture_0007,tools/dataset/captures/http_300_aqs_20260626T2040Z/capture_0007.jpg,,,,,,false,train,,excluded,auto-consensus,2026-07-21T20:11:18+00:00,,,tools/dataset/captures/http_300_aqs_20260626T2040Z/labels_ollama_proposals.csv,excluded,no_valid_votes,qwen3-vl:4b,0
capture_0008,tools/dataset/captures/http_300_aqs_20260626T2040Z/capture_0008.jpg,,,,,,false,train,,excluded,auto-consensus,2026-07-21T20:11:18+00:00,,,tools/dataset/captures/http_300_aqs_20260626T2040Z/labels_ollama_proposals.csv,excluded,no_valid_votes,qwen3-vl:4b,0
capture_0009,tools/dataset/captures/http_300_aqs_20260626T2040Z/capture_0009.jpg,,,,,,false,train,,excluded,auto-consensus,2026-07-21T20:11:18+00:00,,,tools/dataset/captures/http_300_aqs_20260626T2040Z/labels_ollama_proposals.csv,excluded,no_valid_votes,qwen3-vl:4b,0
capture_0010,tools/dataset/captures/http_300_aqs_20260626T2040Z/capture_0010.jpg,,,,,,false,train,,excluded,auto-consensus,2026-07-21T20:11:18+00:00,,,tools/dataset/captures/http_300_aqs_20260626T2040Z/labels_ollama_proposals.csv,excluded,no_valid_votes,qwen3-vl:4b,0
