sample_id,image_path,temperature_c,humidity_percent,co2_ppm,hcho_raw,tvoc_raw,valid,split,notes,review_status,reviewer,reviewed_at_utc,proposal_model,prompt_version,source_proposals
capture_0024,tools/dataset/captures/http_300_aqs_20260626T2040Z/capture_0024.jpg,22,11,444,11,36,true,train,ollama_ocr,approved,owner-bulk-approved,2026-06-29T17:15:19+00:00,qwen3-vl:4b,aqs-five-field-v2,tools/dataset/captures/http_300_aqs_20260626T2040Z/labels_ollama_review_queue.csv
capture_0035,tools/dataset/captures/http_300_aqs_20260626T2040Z/capture_0035.jpg,23,13,312,13,36,true,train,ollama_ocr,approved,owner-bulk-approved,2026-06-29T17:15:19+00:00,qwen3-vl:4b,aqs-five-field-v2,tools/dataset/captures/http_300_aqs_20260626T2040Z/labels_ollama_review_queue.csv
capture_0095,tools/dataset/captures/http_300_aqs_20260626T2040Z/capture_0095.jpg,24,11,444,11,0,true,train,ollama_ocr,approved,owner-bulk-approved,2026-06-29T17:15:19+00:00,qwen3-vl:4b,aqs-five-field-v2,tools/dataset/captures/http_300_aqs_20260626T2040Z/labels_ollama_review_queue.csv
capture_0097,tools/dataset/captures/http_300_aqs_20260626T2040Z/capture_0097.jpg,24,12,444,11,0,true,train,ollama_ocr,approved,owner-bulk-approved,2026-06-29T17:15:19+00:00,qwen3-vl:4b,aqs-five-field-v2,tools/dataset/captures/http_300_aqs_20260626T2040Z/labels_ollama_review_queue.csv
capture_0100,tools/dataset/captures/http_300_aqs_20260626T2040Z/capture_0100.jpg,21,11,444,13,36,true,train,ollama_ocr,approved,owner-bulk-approved,2026-06-29T17:15:19+00:00,qwen3-vl:4b,aqs-five-field-v2,tools/dataset/captures/http_300_aqs_20260626T2040Z/labels_ollama_review_queue.csv
capture_0170,tools/dataset/captures/http_300_aqs_20260626T2040Z/capture_0170.jpg,21,11,444,13,36,true,train,ollama_ocr,approved,owner-bulk-approved,2026-06-29T17:15:19+00:00,qwen3-vl:4b,aqs-five-field-v2,tools/dataset/captures/http_300_aqs_20260626T2040Z/labels_ollama_review_queue.csv
capture_0171,tools/dataset/captures/http_300_aqs_20260626T2040Z/capture_0171.jpg,24,11,444,13,36,true,train,ollama_ocr,approved,owner-bulk-approved,2026-06-29T17:15:19+00:00,qwen3-vl:4b,aqs-five-field-v2,tools/dataset/captures/http_300_aqs_20260626T2040Z/labels_ollama_review_queue.csv
capture_0172,tools/dataset/captures/http_300_aqs_20260626T2040Z/capture_0172.jpg,21,11,444,13,36,true,train,ollama_ocr,approved,owner-bulk-approved,2026-06-29T17:15:19+00:00,qwen3-vl:4b,aqs-five-field-v2,tools/dataset/captures/http_300_aqs_20260626T2040Z/labels_ollama_review_queue.csv
capture_0174,tools/dataset/captures/http_300_aqs_20260626T2040Z/capture_0174.jpg,21,11,444,13,36,true,train,ollama_ocr,approved,owner-bulk-approved,2026-06-29T17:15:19+00:00,qwen3-vl:4b,aqs-five-field-v2,tools/dataset/captures/http_300_aqs_20260626T2040Z/labels_ollama_review_queue.csv
capture_0240,tools/dataset/captures/http_300_aqs_20260626T2040Z/capture_0240.jpg,21,12,450,13,36,true,train,ollama_ocr,approved,owner-bulk-approved,2026-06-29T17:15:19+00:00,qwen3-vl:4b,aqs-five-field-v2,tools/dataset/captures/http_300_aqs_20260626T2040Z/labels_ollama_review_queue.csv
capture_0242,tools/dataset/captures/http_300_aqs_20260626T2040Z/capture_0242.jpg,21,12,450,13,36,true,validation,ollama_ocr,approved,owner-bulk-approved,2026-06-29T17:15:19+00:00,qwen3-vl:4b,aqs-five-field-v2,tools/dataset/captures/http_300_aqs_20260626T2040Z/labels_ollama_review_queue.csv
capture_0243,tools/dataset/captures/http_300_aqs_20260626T2040Z/capture_0243.jpg,25,12,560,13,36,true,validation,ollama_ocr,approved,owner-bulk-approved,2026-06-29T17:15:19+00:00,qwen3-vl:4b,aqs-five-field-v2,tools/dataset/captures/http_300_aqs_20260626T2040Z/labels_ollama_review_queue.csv
capture_0296,tools/dataset/captures/http_300_aqs_20260626T2040Z/capture_0296.jpg,2,12,8200,11,0,true,test,ollama_ocr,approved,owner-bulk-approved,2026-06-29T17:15:19+00:00,qwen3-vl:4b,aqs-five-field-v2,tools/dataset/captures/http_300_aqs_20260626T2040Z/labels_ollama_review_queue.csv
