sample_id,image_path,temperature_c,humidity_percent,co2_ppm,hcho_raw,tvoc_raw,valid,split,notes,proposal_status,model,prompt_version,labeled_at_utc,attempts,duration_seconds,review_decision,corrected_co2_ppm,corrected_hcho_raw,corrected_tvoc_raw,corrected_temperature_c,corrected_humidity_percent,reviewer,reviewed_at_utc,quality_reasons,temporal_flags
capture_0001,tools/dataset/captures/http_300_aqs_20260626T2040Z/capture_0001.jpg,20,2,240,2,3,false,train,ocr_invalid_or_implausible,rejected,qwen3-vl:4b,aqs-five-field-v2,2026-06-29T10:21:08+00:00,1,2.7,pending,,,,,,,,,
capture_0002,tools/dataset/captures/http_300_aqs_20260626T2040Z/capture_0002.jpg,2,0,0,0,0,false,train,ocr_invalid_or_implausible,rejected,qwen3-vl:4b,aqs-five-field-v2,2026-06-29T10:14:11+00:00,1,2.8,pending,,,,,,,,,
capture_0003,tools/dataset/captures/http_300_aqs_20260626T2040Z/capture_0003.jpg,2,0,0,0,0,false,train,ocr_invalid_or_implausible,rejected,qwen3-vl:4b,aqs-five-field-v2,2026-06-29T10:08:10+00:00,1,2.0,pending,,,,,,,,,
capture_0004,tools/dataset/captures/http_300_aqs_20260626T2040Z/capture_0004.jpg,2,0,0,0,0,false,train,ocr_invalid_or_implausible,rejected,qwen3-vl:4b,aqs-five-field-v2,2026-06-29T10:09:15+00:00,1,2.1,pending,,,,,,,,,
capture_0005,tools/dataset/captures/http_300_aqs_20260626T2040Z/capture_0005.jpg,2,0,0,0,0,false,train,ocr_invalid_or_implausible,rejected,qwen3-vl:4b,aqs-five-field-v2,2026-06-29T10:18:57+00:00,1,2.6,pending,,,,,,,,,
capture_0006,tools/dataset/captures/http_300_aqs_20260626T2040Z/capture_0006.jpg,2,0,0,0,0,false,train,ocr_invalid_or_implausible,rejected,qwen3-vl:4b,aqs-five-field-v2,2026-06-29T10:15:50+00:00,1,2.7,pending,,,,,,,,,
capture_0007,tools/dataset/captures/http_300_aqs_20260626T2040Z/capture_0007.jpg,2,0,0,0,0,false,train,ocr_invalid_or_implausible,rejected,qwen3-vl:4b,aqs-five-field-v2,2026-06-29T10:07:20+00:00,1,2.0,pending,,,,,,,,,
capture_0008,tools/dataset/captures/http_300_aqs_20260626T2040Z/capture_0008.jpg,2,0,0,0,0,false,train,ocr_invalid_or_implausible,rejected,qwen3-vl:4b,aqs-five-field-v2,2026-06-29T10:04:50+00:00,1,1.9,pending,,,,,,,,,
capture_0009,tools/dataset/captures/http_300_aqs_20260626T2040Z/capture_0009.jpg,2,0,0,0,0,false,train,ocr_invalid_or_implausible,rejected,qwen3-vl:4b,aqs-five-field-v2,2026-06-29T10:15:31+00:00,1,2.7,pending,,,,,,,,,
capture_0010,tools/dataset/captures/http_300_aqs_20260626T2040Z/capture_0010.jpg,0,0,0,0,0,false,train,ocr_invalid_or_implausible,rejected,qwen3-vl:4b,aqs-five-field-v2,2026-06-29T10:07:45+00:00,1,2.0,pending,,,,,,,,,
