sample_id,image_path,lighting_label,framesize,quality,brightness,contrast,saturation,aec,agc,awb,http_code,bytes,captured_at_utc,display_text,notes
capture_0001,tools/dataset/captures/http_300_aqs_20260626T2040Z/capture_0001.jpg,mounted_http_quick_20260626,vga,8,2,2,,0,0,0,200,22038,2026-06-26T20:40:06Z,,
capture_0002,tools/dataset/captures/http_300_aqs_20260626T2040Z/capture_0002.jpg,mounted_http_quick_20260626,vga,8,2,2,,0,0,0,200,22147,2026-06-26T20:40:07Z,,
capture_0003,tools/dataset/captures/http_300_aqs_20260626T2040Z/capture_0003.jpg,mounted_http_quick_20260626,vga,8,2,2,,0,0,0,200,22856,2026-06-26T20:40:07Z,,
capture_0004,tools/dataset/captures/http_300_aqs_20260626T2040Z/capture_0004.jpg,mounted_http_quick_20260626,vga,8,2,2,,0,0,0,200,23231,2026-06-26T20:40:07Z,,
capture_0005,tools/dataset/captures/http_300_aqs_20260626T2040Z/capture_0005.jpg,mounted_http_quick_20260626,vga,8,2,2,,0,0,0,200,22529,2026-06-26T20:40:07Z,,
capture_0006,tools/dataset/captures/http_300_aqs_20260626T2040Z/capture_0006.jpg,mounted_http_quick_20260626,vga,8,2,2,,0,0,0,200,22167,2026-06-26T20:40:07Z,,
capture_0007,tools/dataset/captures/http_300_aqs_20260626T2040Z/capture_0007.jpg,mounted_http_quick_20260626,vga,8,2,2,,0,0,0,200,22904,2026-06-26T20:40:08Z,,
capture_0008,tools/dataset/captures/http_300_aqs_20260626T2040Z/capture_0008.jpg,mounted_http_quick_20260626,vga,8,2,2,,0,0,0,200,22076,2026-06-26T20:40:08Z,,
capture_0009,tools/dataset/captures/http_300_aqs_20260626T2040Z/capture_0009.jpg,mounted_http_quick_20260626,vga,8,2,2,,0,0,0,200,22176,2026-06-26T20:40:08Z,,
capture_0010,tools/dataset/captures/http_300_aqs_20260626T2040Z/capture_0010.jpg,mounted_http_quick_20260626,vga,8,2,2,,0,0,0,200,21986,2026-06-26T20:40:08Z,,
capture_0011,tools/dataset/captures/http_300_aqs_20260626T2040Z/capture_0011.jpg,mounted_http_quick_20260626,vga,8,2,2,,0,0,0,200,22510,2026-06-26T20:40:08Z,,
capture_0012,tools/dataset/captures/http_300_aqs_20260626T2040Z/capture_0012.jpg,mounted_http_quick_20260626,vga,8,2,2,,0,0,0,200,22178,2026-06-26T20:40:08Z,,
capture_0013,tools/dataset/captures/http_300_aqs_20260626T2040Z/capture_0013.jpg,mounted_http_quick_20260626,vga,8,2,2,,0,0,0,200,22066,2026-06-26T20:40:09Z,,
capture_0014,tools/dataset/captures/http_300_aqs_20260626T2040Z/capture_0014.jpg,mounted_http_quick_20260626,vga,8,2,2,,0,0,0,200,21710,2026-06-26T20:40:09Z,,
capture_0015,tools/dataset/captures/http_300_aqs_20260626T2040Z/capture_0015.jpg,mounted_http_quick_20260626,vga,8,2,2,,0,0,0,200,22103,2026-06-26T20:40:09Z,,
capture_0016,tools/dataset/captures/http_300_aqs_20260626T2040Z/capture_0016.jpg,mounted_http_quick_20260626,vga,8,2,2,,0,0,0,200,21839,2026-06-26T20:40:09Z,,
capture_0017,tools/dataset/captures/http_300_aqs_20260626T2040Z/capture_0017.jpg,mounted_http_quick_20260626,vga,8,2,2,,0,0,0,200,21895,2026-06-26T20:40:10Z,,
capture_0018,tools/dataset/captures/http_300_aqs_20260626T2040Z/capture_0018.jpg,mounted_http_quick_20260626,vga,8,2,2,,0,0,0,200,21734,2026-06-26T20:40:10Z,,
capture_0019,tools/dataset/captures/http_300_aqs_20260626T2040Z/capture_0019.jpg,mounted_http_quick_20260626,vga,8,2,2,,0,0,0,200,22411,2026-06-26T20:40:10Z,,
capture_0020,tools/dataset/captures/http_300_aqs_20260626T2040Z/capture_0020.jpg,mounted_http_quick_20260626,vga,8,2,2,,0,0,0,200,21710,2026-06-26T20:40:10Z,,
capture_0021,tools/dataset/captures/http_300_aqs_20260626T2040Z/capture_0021.jpg,mounted_http_quick_20260626,vga,8,2,2,,0,0,0,200,24220,2026-06-26T20:40:11Z,,
capture_0022,tools/dataset/captures/http_300_aqs_20260626T2040Z/capture_0022.jpg,mounted_http_quick_20260626,vga,8,2,2,,0,0,0,200,22409,2026-06-26T20:40:11Z,,
capture_0023,tools/dataset/captures/http_300_aqs_20260626T2040Z/capture_0023.jpg,mounted_http_quick_20260626,vga,8,2,2,,0,0,0,200,22430,2026-06-26T20:40:11Z,,
capture_0024,tools/dataset/captures/http_300_aqs_20260626T2040Z/capture_0024.jpg,mounted_http_quick_20260626,vga,8,2,2,,0,0,0,200,22431,2026-06-26T20:40:11Z,,
capture_0025,tools/dataset/captures/http_300_aqs_20260626T2040Z/capture_0025.jpg,mounted_http_quick_20260626,vga,8,2,2,,0,0,0,200,22748,2026-06-26T20:40:11Z,,
capture_0026,tools/dataset/captures/http_300_aqs_20260626T2040Z/capture_0026.jpg,mounted_http_quick_20260626,vga,8,2,2,,0,0,0,200,22609,2026-06-26T20:40:11Z,,
capture_0027,tools/dataset/captures/http_300_aqs_20260626T2040Z/capture_0027.jpg,mounted_http_quick_20260626,vga,8,2,2,,0,0,0,200,22568,2026-06-26T20:40:12Z,,
capture_0028,tools/dataset/captures/http_300_aqs_20260626T2040Z/capture_0028.jpg,mounted_http_quick_20260626,vga,8,2,2,,0,0,0,200,22771,2026-06-26T20:40:12Z,,
capture_0029,tools/dataset/captures/http_300_aqs_20260626T2040Z/capture_0029.jpg,mounted_http_quick_20260626,vga,8,2,2,,0,0,0,200,27923,2026-06-26T20:40:13Z,,
capture_0030,tools/dataset/captures/http_300_aqs_20260626T2040Z/capture_0030.jpg,mounted_http_quick_20260626,vga,8,2,2,,0,0,0,200,27426,2026-06-26T20:40:13Z,,
capture_0031,tools/dataset/captures/http_300_aqs_20260626T2040Z/capture_0031.jpg,mounted_http_quick_20260626,vga,8,2,2,,0,0,0,200,23141,2026-06-26T20:40:13Z,,
capture_0032,tools/dataset/captures/http_300_aqs_20260626T2040Z/capture_0032.jpg,mounted_http_quick_20260626,vga,8,2,2,,0,0,0,200,22910,2026-06-26T20:40:13Z,,
capture_0033,tools/dataset/captures/http_300_aqs_20260626T2040Z/capture_0033.jpg,mounted_http_quick_20260626,vga,8,2,2,,0,0,0,200,23013,2026-06-26T20:40:14Z,,
capture_0034,tools/dataset/captures/http_300_aqs_20260626T2040Z/capture_0034.jpg,mounted_http_quick_20260626,vga,8,2,2,,0,0,0,200,22984,2026-06-26T20:40:14Z,,
capture_0035,tools/dataset/captures/http_300_aqs_20260626T2040Z/capture_0035.jpg,mounted_http_quick_20260626,vga,8,2,2,,0,0,0,200,27971,2026-06-26T20:40:14Z,,
capture_0036,tools/dataset/captures/http_300_aqs_20260626T2040Z/capture_0036.jpg,mounted_http_quick_20260626,vga,8,2,2,,0,0,0,200,23053,2026-06-26T20:40:14Z,,
capture_0037,tools/dataset/captures/http_300_aqs_20260626T2040Z/capture_0037.jpg,mounted_http_quick_20260626,vga,8,2,2,,0,0,0,200,22910,2026-06-26T20:40:14Z,,
capture_0038,tools/dataset/captures/http_300_aqs_20260626T2040Z/capture_0038.jpg,mounted_http_quick_20260626,vga,8,2,2,,0,0,0,200,23102,2026-06-26T20:40:15Z,,
capture_0039,tools/dataset/captures/http_300_aqs_20260626T2040Z/capture_0039.jpg,mounted_http_quick_20260626,vga,8,2,2,,0,0,0,200,22834,2026-06-26T20:40:15Z,,
capture_0040,tools/dataset/captures/http_300_aqs_20260626T2040Z/capture_0040.jpg,mounted_http_quick_20260626,vga,8,2,2,,0,0,0,200,22978,2026-06-26T20:40:15Z,,
capture_0041,tools/dataset/captures/http_300_aqs_20260626T2040Z/capture_0041.jpg,mounted_http_quick_20260626,vga,8,2,2,,0,0,0,200,22960,2026-06-26T20:40:16Z,,
capture_0042,tools/dataset/captures/http_300_aqs_20260626T2040Z/capture_0042.jpg,mounted_http_quick_20260626,vga,8,2,2,,0,0,0,200,23298,2026-06-26T20:40:16Z,,
capture_0043,tools/dataset/captures/http_300_aqs_20260626T2040Z/capture_0043.jpg,mounted_http_quick_20260626,vga,8,2,2,,0,0,0,200,23406,2026-06-26T20:40:17Z,,
capture_0044,tools/dataset/captures/http_300_aqs_20260626T2040Z/capture_0044.jpg,mounted_http_quick_20260626,vga,8,2,2,,0,0,0,200,23171,2026-06-26T20:40:17Z,,
