sample_id,image_path,temperature_c,humidity_percent,co2_ppm,hcho_raw,tvoc_raw,valid,split,notes,review_status,reviewer,reviewed_at_utc,proposal_model,prompt_version,source_proposals,consensus_status,consensus_reason,consensus_models,consensus_votes
capture_0001,tools/dataset/captures/live_surveillance_20260629T1003Z/capture_0001.jpg,28,53,1498,85,58,true,train,auto_consensus,automated_consensus,auto-consensus,2026-07-21T20:10:35+00:00,qwen3-vl:4b,aqs-five-field-v2,tools/dataset/captures/live_surveillance_20260629T1003Z/labels_ollama_proposals.csv,promoted,single_model_temporal_plausible,qwen3-vl:4b,1
capture_0002,tools/dataset/captures/live_surveillance_20260629T1003Z/capture_0002.jpg,28,53,1498,85,58,true,train,auto_consensus,automated_consensus,auto-consensus,2026-07-21T20:10:35+00:00,qwen3-vl:4b,aqs-five-field-v2,tools/dataset/captures/live_surveillance_20260629T1003Z/labels_ollama_proposals.csv,promoted,single_model_temporal_plausible,qwen3-vl:4b,1
capture_0003,tools/dataset/captures/live_surveillance_20260629T1003Z/capture_0003.jpg,28,53,1498,85,58,true,train,auto_consensus,automated_consensus,auto-consensus,2026-07-21T20:10:35+00:00,qwen3-vl:4b,aqs-five-field-v2,tools/dataset/captures/live_surveillance_20260629T1003Z/labels_ollama_proposals.csv,promoted,single_model_temporal_plausible,qwen3-vl:4b,1
capture_0004,tools/dataset/captures/live_surveillance_20260629T1003Z/capture_0004.jpg,,,,,,false,train,hcho_raw:178:neighbor_median=83.5,excluded,auto-consensus,2026-07-21T20:10:35+00:00,,,tools/dataset/captures/live_surveillance_20260629T1003Z/labels_ollama_proposals.csv,excluded,temporal_anomaly,qwen3-vl:4b,0
capture_0005,tools/dataset/captures/live_surveillance_20260629T1003Z/capture_0005.jpg,,,,,,false,train,hcho_raw:13:neighbor_median=83.5;tvoc_raw:498:neighbor_median=54,excluded,auto-consensus,2026-07-21T20:10:35+00:00,,,tools/dataset/captures/live_surveillance_20260629T1003Z/labels_ollama_proposals.csv,excluded,temporal_anomaly,qwen3-vl:4b,0
capture_0006,tools/dataset/captures/live_surveillance_20260629T1003Z/capture_0006.jpg,,,,,,false,train,co2_ppm:487:neighbor_median=1473.5;tvoc_raw:5:neighbor_median=276.5,excluded,auto-consensus,2026-07-21T20:10:35+00:00,,,tools/dataset/captures/live_surveillance_20260629T1003Z/labels_ollama_proposals.csv,excluded,temporal_anomaly,qwen3-vl:4b,0
capture_0007,tools/dataset/captures/live_surveillance_20260629T1003Z/capture_0007.jpg,,,,,,false,train,tvoc_raw:504:neighbor_median=276.5,excluded,auto-consensus,2026-07-21T20:10:35+00:00,,,tools/dataset/captures/live_surveillance_20260629T1003Z/labels_ollama_proposals.csv,excluded,temporal_anomaly,qwen3-vl:4b,0
capture_0008,tools/dataset/captures/live_surveillance_20260629T1003Z/capture_0008.jpg,,,,,,false,train,tvoc_raw:55:neighbor_median=279.5,excluded,auto-consensus,2026-07-21T20:10:35+00:00,,,tools/dataset/captures/live_surveillance_20260629T1003Z/labels_ollama_proposals.csv,excluded,temporal_anomaly,qwen3-vl:4b,0
capture_0009,tools/dataset/captures/live_surveillance_20260629T1003Z/capture_0009.jpg,,,,,,false,train,tvoc_raw:509:neighbor_median=55,excluded,auto-consensus,2026-07-21T20:10:35+00:00,,,tools/dataset/captures/live_surveillance_20260629T1003Z/labels_ollama_proposals.csv,excluded,temporal_anomaly,qwen3-vl:4b,0
capture_0010,tools/dataset/captures/live_surveillance_20260629T1003Z/capture_0010.jpg,,,,,,false,train,tvoc_raw:55:neighbor_median=282,excluded,auto-consensus,2026-07-21T20:10:35+00:00,,,tools/dataset/captures/live_surveillance_20260629T1003Z/labels_ollama_proposals.csv,excluded,temporal_anomaly,qwen3-vl:4b,0
capture_0011,tools/dataset/captures/live_surveillance_20260629T1003Z/capture_0011.jpg,,,,,,false,train,hcho_raw:13:neighbor_median=161;tvoc_raw:36:neighbor_median=593,excluded,auto-consensus,2026-07-21T20:10:35+00:00,,,tools/dataset/captures/live_surveillance_20260629T1003Z/labels_ollama_proposals.csv,excluded,temporal_anomaly,qwen3-vl:4b,0
capture_0012,tools/dataset/captures/live_surveillance_20260629T1003Z/capture_0012.jpg,,,,,,false,train,co2_ppm:1581:neighbor_median=1059;hcho_raw:239:neighbor_median=177;tvoc_raw:677:neighbor_median=406.5,excluded,auto-consensus,2026-07-21T20:10:35+00:00,,,tools/dataset/captures/live_surveillance_20260629T1003Z/labels_ollama_proposals.csv,excluded,temporal_anomaly,qwen3-vl:4b,0
capture_0013,tools/dataset/captures/live_surveillance_20260629T1003Z/capture_0013.jpg,,,,,,false,train,co2_ppm:630:neighbor_median=1542.5;hcho_raw:271:neighbor_median=258.5;tvoc_raw:758:neighbor_median=717.5,excluded,auto-consensus,2026-07-21T20:10:35+00:00,,,tools/dataset/captures/live_surveillance_20260629T1003Z/labels_ollama_proposals.csv,excluded,temporal_anomaly,qwen3-vl:4b,0
capture_0014,tools/dataset/captures/live_surveillance_20260629T1003Z/capture_0014.jpg,,,,,,false,train,co2_ppm:636:neighbor_median=1622;tvoc_raw:758:neighbor_median=789,excluded,auto-consensus,2026-07-21T20:10:35+00:00,,,tools/dataset/captures/live_surveillance_20260629T1003Z/labels_ollama_proposals.csv,excluded,temporal_anomaly,qwen3-vl:4b,0
