sample_id,image_path,temperature_c,humidity_percent,co2_ppm,hcho_raw,tvoc_raw,valid,split,notes,review_status,reviewer,reviewed_at_utc,proposal_model,prompt_version,source_proposals
capture_0001,tools/dataset/captures/live_surveillance_20260629T1003Z/capture_0001.jpg,28,53,1498,85,58,true,train,ollama_ocr,approved,owner-bulk-approved,2026-06-29T15:35:08+00:00,qwen3-vl:4b,aqs-five-field-v2,tools/dataset/captures/live_surveillance_20260629T1003Z/labels_ollama_review_queue.csv
capture_0002,tools/dataset/captures/live_surveillance_20260629T1003Z/capture_0002.jpg,28,53,1498,85,58,true,train,ollama_ocr,approved,owner-bulk-approved,2026-06-29T15:35:08+00:00,qwen3-vl:4b,aqs-five-field-v2,tools/dataset/captures/live_surveillance_20260629T1003Z/labels_ollama_review_queue.csv
capture_0003,tools/dataset/captures/live_surveillance_20260629T1003Z/capture_0003.jpg,28,53,1498,85,58,true,train,ollama_ocr,approved,owner-bulk-approved,2026-06-29T15:35:08+00:00,qwen3-vl:4b,aqs-five-field-v2,tools/dataset/captures/live_surveillance_20260629T1003Z/labels_ollama_review_queue.csv
capture_0004,tools/dataset/captures/live_surveillance_20260629T1003Z/capture_0004.jpg,28,53,1476,178,50,true,train,ollama_ocr,approved,owner-bulk-approved,2026-06-29T15:35:08+00:00,qwen3-vl:4b,aqs-five-field-v2,tools/dataset/captures/live_surveillance_20260629T1003Z/labels_ollama_review_queue.csv
capture_0005,tools/dataset/captures/live_surveillance_20260629T1003Z/capture_0005.jpg,28,53,1465,13,498,true,train,ollama_ocr,approved,owner-bulk-approved,2026-06-29T15:35:08+00:00,qwen3-vl:4b,aqs-five-field-v2,tools/dataset/captures/live_surveillance_20260629T1003Z/labels_ollama_review_queue.csv
capture_0006,tools/dataset/captures/live_surveillance_20260629T1003Z/capture_0006.jpg,28,53,487,82,5,true,train,ollama_ocr,approved,owner-bulk-approved,2026-06-29T15:35:08+00:00,qwen3-vl:4b,aqs-five-field-v2,tools/dataset/captures/live_surveillance_20260629T1003Z/labels_ollama_review_queue.csv
capture_0007,tools/dataset/captures/live_surveillance_20260629T1003Z/capture_0007.jpg,28,53,1471,81,504,true,train,ollama_ocr,approved,owner-bulk-approved,2026-06-29T15:35:08+00:00,qwen3-vl:4b,aqs-five-field-v2,tools/dataset/captures/live_surveillance_20260629T1003Z/labels_ollama_review_queue.csv
capture_0008,tools/dataset/captures/live_surveillance_20260629T1003Z/capture_0008.jpg,28,53,1493,84,55,true,train,ollama_ocr,approved,owner-bulk-approved,2026-06-29T15:35:08+00:00,qwen3-vl:4b,aqs-five-field-v2,tools/dataset/captures/live_surveillance_20260629T1003Z/labels_ollama_review_queue.csv
capture_0009,tools/dataset/captures/live_surveillance_20260629T1003Z/capture_0009.jpg,28,53,1482,82,509,true,train,ollama_ocr,approved,owner-bulk-approved,2026-06-29T15:35:08+00:00,qwen3-vl:4b,aqs-five-field-v2,tools/dataset/captures/live_surveillance_20260629T1003Z/labels_ollama_review_queue.csv
capture_0010,tools/dataset/captures/live_surveillance_20260629T1003Z/capture_0010.jpg,28,53,1482,83,55,true,train,ollama_ocr,approved,owner-bulk-approved,2026-06-29T15:35:08+00:00,qwen3-vl:4b,aqs-five-field-v2,tools/dataset/captures/live_surveillance_20260629T1003Z/labels_ollama_review_queue.csv
capture_0011,tools/dataset/captures/live_surveillance_20260629T1003Z/capture_0011.jpg,28,52,1504,13,36,true,train,ollama_ocr,approved,owner-bulk-approved,2026-06-29T15:35:08+00:00,qwen3-vl:4b,aqs-five-field-v2,tools/dataset/captures/live_surveillance_20260629T1003Z/labels_ollama_review_queue.csv
capture_0012,tools/dataset/captures/live_surveillance_20260629T1003Z/capture_0012.jpg,28,52,1581,239,677,true,train,ollama_ocr,approved,owner-bulk-approved,2026-06-29T15:35:08+00:00,qwen3-vl:4b,aqs-five-field-v2,tools/dataset/captures/live_surveillance_20260629T1003Z/labels_ollama_review_queue.csv
capture_0013,tools/dataset/captures/live_surveillance_20260629T1003Z/capture_0013.jpg,28,52,630,271,758,true,train,ollama_ocr,approved,owner-bulk-approved,2026-06-29T15:35:08+00:00,qwen3-vl:4b,aqs-five-field-v2,tools/dataset/captures/live_surveillance_20260629T1003Z/labels_ollama_review_queue.csv
capture_0014,tools/dataset/captures/live_surveillance_20260629T1003Z/capture_0014.jpg,28,52,636,278,758,true,train,ollama_ocr,approved,owner-bulk-approved,2026-06-29T15:35:08+00:00,qwen3-vl:4b,aqs-five-field-v2,tools/dataset/captures/live_surveillance_20260629T1003Z/labels_ollama_review_queue.csv
capture_0015,tools/dataset/captures/live_surveillance_20260629T1003Z/capture_0015.jpg,28,52,1663,296,820,true,train,ollama_ocr,approved,owner-bulk-approved,2026-06-29T15:35:08+00:00,qwen3-vl:4b,aqs-five-field-v2,tools/dataset/captures/live_surveillance_20260629T1003Z/labels_ollama_review_queue.csv
capture_0016,tools/dataset/captures/live_surveillance_20260629T1003Z/capture_0016.jpg,28,52,1762,357,999,true,train,ollama_ocr,approved,owner-bulk-approved,2026-06-29T15:35:08+00:00,qwen3-vl:4b,aqs-five-field-v2,tools/dataset/captures/live_surveillance_20260629T1003Z/labels_ollama_review_queue.csv
capture_0017,tools/dataset/captures/live_surveillance_20260629T1003Z/capture_0017.jpg,28,52,806,386,880,true,train,ollama_ocr,approved,owner-bulk-approved,2026-06-29T15:35:08+00:00,qwen3-vl:4b,aqs-five-field-v2,tools/dataset/captures/live_surveillance_20260629T1003Z/labels_ollama_review_queue.csv
capture_0018,tools/dataset/captures/live_surveillance_20260629T1003Z/capture_0018.jpg,28,52,806,390,0,true,train,ollama_ocr,approved,owner-bulk-approved,2026-06-29T15:35:08+00:00,qwen3-vl:4b,aqs-five-field-v2,tools/dataset/captures/live_surveillance_20260629T1003Z/labels_ollama_review_queue.csv
capture_0019,tools/dataset/captures/live_surveillance_20260629T1003Z/capture_0019.jpg,28,52,839,408,142,true,train,ollama_ocr,approved,owner-bulk-approved,2026-06-29T15:35:08+00:00,qwen3-vl:4b,aqs-five-field-v2,tools/dataset/captures/live_surveillance_20260629T1003Z/labels_ollama_review_queue.csv
capture_0020,tools/dataset/captures/live_surveillance_20260629T1003Z/capture_0020.jpg,28,52,1900,140,232,true,train,ollama_ocr,approved,owner-bulk-approved,2026-06-29T15:35:08+00:00,qwen3-vl:4b,aqs-five-field-v2,tools/dataset/captures/live_surveillance_20260629T1003Z/labels_ollama_review_queue.csv
capture_0021,tools/dataset/captures/live_surveillance_20260629T1003Z/capture_0021.jpg,28,52,1966,469,324,true,train,ollama_ocr,approved,owner-bulk-approved,2026-06-29T15:35:08+00:00,qwen3-vl:4b,aqs-five-field-v2,tools/dataset/captures/live_surveillance_20260629T1003Z/labels_ollama_review_queue.csv
