sample_id,image_path,temperature_c,humidity_percent,co2_ppm,hcho_raw,tvoc_raw,valid,split,notes,proposal_status,model,prompt_version,labeled_at_utc,attempts,duration_seconds,review_decision,corrected_co2_ppm,corrected_hcho_raw,corrected_tvoc_raw,corrected_temperature_c,corrected_humidity_percent,reviewer,reviewed_at_utc,quality_reasons,temporal_flags
capture_0001,tools/dataset/captures/live_surveillance_20260629T1003Z/capture_0001.jpg,28,53,1498,85,58,true,train,ollama_ocr,accepted,qwen3-vl:4b,aqs-five-field-v2,2026-06-29T13:56:51+00:00,1,9.9,pending,,,,,,,,,
capture_0002,tools/dataset/captures/live_surveillance_20260629T1003Z/capture_0002.jpg,28,53,1498,85,58,true,train,ollama_ocr,accepted,qwen3-vl:4b,aqs-five-field-v2,2026-06-29T12:50:57+00:00,1,9.9,pending,,,,,,,,,
capture_0003,tools/dataset/captures/live_surveillance_20260629T1003Z/capture_0003.jpg,28,53,1498,85,58,true,train,ollama_ocr,accepted,qwen3-vl:4b,aqs-five-field-v2,2026-06-29T14:17:18+00:00,1,9.9,pending,,,,,,,,,
capture_0004,tools/dataset/captures/live_surveillance_20260629T1003Z/capture_0004.jpg,28,53,1476,178,50,true,train,ollama_ocr,accepted,qwen3-vl:4b,aqs-five-field-v2,2026-06-29T13:35:00+00:00,1,10.0,pending,,,,,,,,,hcho_raw:178:neighbor_median=83.5
capture_0005,tools/dataset/captures/live_surveillance_20260629T1003Z/capture_0005.jpg,28,53,1465,13,498,true,train,ollama_ocr,accepted,qwen3-vl:4b,aqs-five-field-v2,2026-06-29T13:41:12+00:00,1,10.0,pending,,,,,,,,,hcho_raw:13:neighbor_median=83.5;tvoc_raw:498:neighbor_median=54
capture_0006,tools/dataset/captures/live_surveillance_20260629T1003Z/capture_0006.jpg,28,53,487,82,5,true,train,ollama_ocr,accepted,qwen3-vl:4b,aqs-five-field-v2,2026-06-29T13:21:52+00:00,1,9.7,pending,,,,,,,,,co2_ppm:487:neighbor_median=1473.5;tvoc_raw:5:neighbor_median=276.5
capture_0007,tools/dataset/captures/live_surveillance_20260629T1003Z/capture_0007.jpg,28,53,1471,81,504,true,train,ollama_ocr,accepted,qwen3-vl:4b,aqs-five-field-v2,2026-06-29T13:01:56+00:00,1,10.0,pending,,,,,,,,,tvoc_raw:504:neighbor_median=276.5
capture_0008,tools/dataset/captures/live_surveillance_20260629T1003Z/capture_0008.jpg,28,53,1493,84,55,true,train,ollama_ocr,accepted,qwen3-vl:4b,aqs-five-field-v2,2026-06-29T13:32:49+00:00,1,9.9,pending,,,,,,,,,tvoc_raw:55:neighbor_median=279.5
capture_0009,tools/dataset/captures/live_surveillance_20260629T1003Z/capture_0009.jpg,28,53,1482,82,509,true,train,ollama_ocr,accepted,qwen3-vl:4b,aqs-five-field-v2,2026-06-29T13:06:53+00:00,1,10.0,pending,,,,,,,,,tvoc_raw:509:neighbor_median=55
capture_0010,tools/dataset/captures/live_surveillance_20260629T1003Z/capture_0010.jpg,28,53,1482,83,55,true,train,ollama_ocr,accepted,qwen3-vl:4b,aqs-five-field-v2,2026-06-29T13:10:20+00:00,1,9.9,pending,,,,,,,,,tvoc_raw:55:neighbor_median=282
