sample_id,image_path,captured_at_utc,lighting_label,pipeline_cycle,width,height,bytes,sha256,device_status,device_confidence,device_co2_ppm,device_hcho_raw,device_tvoc_raw,device_temperature_c,device_humidity_percent,device_recognition_duration_ms,framesize,quality,brightness,contrast,saturation,aec,agc,awb
capture_0001,tools/dataset/captures/live_surveillance_20260629T1003Z/capture_0001.jpg,2026-06-29T10:04:00+00:00,surveillance_mounted_20260629,47,640,480,25762,75f6584f0712c13aab81c7640dde5de8ab80b2e818a2b645d56072fda9765a55,ok,0.41,1742,36,6,27.0,43,2403,vga,8,2,2,0,0,0,0
capture_0002,tools/dataset/captures/live_surveillance_20260629T1003Z/capture_0002.jpg,2026-06-29T10:04:05+00:00,surveillance_mounted_20260629,48,640,480,25776,a051029f937dcdc46d9af00e71bab86ab4991efa17ed85b665f0ab3e9849557b,ok,0.4,749,85,16,28.0,43,2534,vga,8,2,2,0,0,0,0
capture_0003,tools/dataset/captures/live_surveillance_20260629T1003Z/capture_0003.jpg,2026-06-29T10:04:17+00:00,surveillance_mounted_20260629,49,640,480,25751,6772fdbadfc782b47dd9cd8b970b8291e90d3d7324f9280097b6cd0d809c045f,ok,0.43,749,85,16,28.0,43,2582,vga,8,2,2,0,0,0,0
capture_0004,tools/dataset/captures/live_surveillance_20260629T1003Z/capture_0004.jpg,2026-06-29T10:04:31+00:00,surveillance_mounted_20260629,50,640,480,25550,ca7e4aedc4f13467fef81c995729eea7c15eca555e58e8d40d084b5e9c8957ca,ok,0.35,1740,16,4,27.0,43,2480,vga,8,2,2,0,0,0,0
capture_0005,tools/dataset/captures/live_surveillance_20260629T1003Z/capture_0005.jpg,2026-06-29T10:04:43+00:00,surveillance_mounted_20260629,51,640,480,25653,045b0ccb5b9310f4ef23d7f936288ac9358962f897faebf6a0e13770955680e5,ok,0.38,1742,30,40,27.0,43,2458,vga,8,2,2,0,0,0,0
capture_0006,tools/dataset/captures/live_surveillance_20260629T1003Z/capture_0006.jpg,2026-06-29T10:04:55+00:00,surveillance_mounted_20260629,52,640,480,25425,9ba33d8747ba5ab771b968f534b07e5d4a43060d4d837caa29ed2bee39847fe2,ok,0.36,1742,36,0,27.0,43,2471,vga,8,2,2,0,0,0,0
capture_0007,tools/dataset/captures/live_surveillance_20260629T1003Z/capture_0007.jpg,2026-06-29T10:05:08+00:00,surveillance_mounted_20260629,53,640,480,27261,b587b43bf9e183da7ef9467068a849fe4158b490e07148fdcef1f25371864054,ok,0.46,1740,31,44,27.0,43,2510,vga,8,2,2,0,0,0,0
capture_0008,tools/dataset/captures/live_surveillance_20260629T1003Z/capture_0008.jpg,2026-06-29T10:05:20+00:00,surveillance_mounted_20260629,54,640,480,25804,8290bcbe3837be8e8e3799253006b902367013bf70e85b4326b0952cf0c262d4,ok,0.45,749,84,10,28.0,43,2502,vga,8,2,2,0,0,0,0
capture_0009,tools/dataset/captures/live_surveillance_20260629T1003Z/capture_0009.jpg,2026-06-29T10:05:33+00:00,surveillance_mounted_20260629,55,640,480,25695,1710a6aa97755bd93ef187b469aa1dc4e453f0139d1f92dc7eda719e66536206,ok,0.4,1752,36,41,27.0,43,2501,vga,8,2,2,0,0,0,0
capture_0010,tools/dataset/captures/live_surveillance_20260629T1003Z/capture_0010.jpg,2026-06-29T10:05:46+00:00,surveillance_mounted_20260629,56,640,480,25814,c6fb47351edf1fe449833fb4470739f4ef195852f4563459be5ce6127d23eb6c,ok,0.34,739,85,10,28.0,43,2551,vga,8,2,2,0,0,0,0
capture_0011,tools/dataset/captures/live_surveillance_20260629T1003Z/capture_0011.jpg,2026-06-29T10:05:58+00:00,surveillance_mounted_20260629,57,640,480,25820,805a2a92c467b859bef263e067c059b2e0360725af5b164d99df54fc382886ab,ok,0.41,539,86,46,28.0,43,2419,vga,8,2,2,0,0,0,0
capture_0012,tools/dataset/captures/live_surveillance_20260629T1003Z/capture_0012.jpg,2026-06-29T10:06:11+00:00,surveillance_mounted_20260629,58,640,480,25791,78ad2a6072d04d6e0d261a863380126fb8fda1378c5ad265534a79e01994ed42,ok,0.34,1532,16,61,27.0,41,2462,vga,8,2,2,0,0,0,0
capture_0013,tools/dataset/captures/live_surveillance_20260629T1003Z/capture_0013.jpg,2026-06-29T10:06:23+00:00,surveillance_mounted_20260629,59,640,480,26207,e17a965098e8176392ea217a6fc8b15aa4059b0716b4f137a40f8cbceedb7cd9,ok,0.34,2002,3,502,45.0,40,2448,vga,8,2,2,0,0,0,0
capture_0014,tools/dataset/captures/live_surveillance_20260629T1003Z/capture_0014.jpg,2026-06-29T10:06:35+00:00,surveillance_mounted_20260629,60,640,480,25984,bdff59cd8de0046debbf0c14029c4f124ee0e68952f8ae4d3321f7ba72f1657d,confidence_too_low,0.28,,,,,,2519,vga,8,2,2,0,0,0,0
capture_0015,tools/dataset/captures/live_surveillance_20260629T1003Z/capture_0015.jpg,2026-06-29T10:06:48+00:00,surveillance_mounted_20260629,61,640,480,26036,71d98870d8d62fe32f6f69fcd33bccddc97f14ab36f1c3e6ceea31bdf4cb556c,ok,0.35,2,6,552,45.0,40,2545,vga,8,2,2,0,0,0,0
capture_0016,tools/dataset/captures/live_surveillance_20260629T1003Z/capture_0016.jpg,2026-06-29T10:07:01+00:00,surveillance_mounted_20260629,62,640,480,25797,80c3607cd1ac68bb5263f83ea99b79f198912ce2061d5b8c91607277c4f2c202,ok,0.36,712,5,551,45.0,40,2583,vga,8,2,2,0,0,0,0
capture_0017,tools/dataset/captures/live_surveillance_20260629T1003Z/capture_0017.jpg,2026-06-29T10:07:13+00:00,surveillance_mounted_20260629,63,640,480,25551,5b1224b396ae12f6da021e095dd8bf484756e8d9a545233be6907b33333629b2,ok,0.34,700,16,552,45.0,40,2542,vga,8,2,2,0,0,0,0
capture_0018,tools/dataset/captures/live_surveillance_20260629T1003Z/capture_0018.jpg,2026-06-29T10:07:25+00:00,surveillance_mounted_20260629,64,640,480,25658,313810b329cc1fb65ee23d6f410cc920b87ab0a8e71493ceef29cc0abfe02205,confidence_too_low,0.28,,,,,,2388,vga,8,2,2,0,0,0,0
capture_0019,tools/dataset/captures/live_surveillance_20260629T1003Z/capture_0019.jpg,2026-06-29T10:07:37+00:00,surveillance_mounted_20260629,65,640,480,25775,ee6646add6f0fc92b7f09bac0466c494eb1e3e91e0ff9b26324842ad82f4e775,confidence_too_low,0.2,,,,,,2432,vga,8,2,2,0,0,0,0
capture_0020,tools/dataset/captures/live_surveillance_20260629T1003Z/capture_0020.jpg,2026-06-29T10:07:50+00:00,surveillance_mounted_20260629,66,640,480,25738,57acec61cbd98b46486063d53ce662df93d57a68e64014cb6198709bb22b3f9b,ok,0.31,2704,35,539,45.0,44,2484,vga,8,2,2,0,0,0,0
capture_0021,tools/dataset/captures/live_surveillance_20260629T1003Z/capture_0021.jpg,2026-06-29T10:08:03+00:00,surveillance_mounted_20260629,67,640,480,25677,f3a90625287b69ab104d8978462ef3a3a17b346ba24365e512eb74fd7edb0ed8,ok,0.31,439,65,111,28.0,43,2616,vga,8,2,2,0,0,0,0
capture_0022,tools/dataset/captures/live_surveillance_20260629T1003Z/capture_0022.jpg,2026-06-29T10:08:15+00:00,surveillance_mounted_20260629,68,640,480,26967,b81d6c77a2365f19e8d58fbf9fbb72c76a20bcecb3551d5a792623adfdf4a36b,ok,0.32,212,106,552,45.0,40,2479,vga,8,2,2,0,0,0,0
