sample_id,image_path,lighting_label,framesize,quality,brightness,contrast,saturation,aec,agc,awb,serial_status,bytes,width,height,captured_at_utc,display_text,notes
capture_0001,tools/dataset/captures/serial20260626/capture_0001.jpg,serial20260626_positioning,vga,12,,,,,,,failed,0,,,2026-06-26T16:25:34Z,,Only base64 data is allowed
capture_0002,tools/dataset/captures/serial20260626/capture_0002.jpg,serial20260626_positioning,vga,12,,,,,,,ok,23230,640,480,2026-06-26T16:25:37Z,,serial_capture
capture_0003,tools/dataset/captures/serial20260626/capture_0003.jpg,serial20260626_positioning,vga,12,,,,,,,ok,13625,640,480,2026-06-26T16:25:41Z,,serial_capture
capture_0004,tools/dataset/captures/serial20260626/capture_0004.jpg,serial20260626_positioning,vga,12,,,,,,,ok,15097,640,480,2026-06-26T16:25:44Z,,serial_capture
capture_0005,tools/dataset/captures/serial20260626/capture_0005.jpg,serial20260626_positioning,vga,12,,,,,,,ok,17149,640,480,2026-06-26T16:25:47Z,,serial_capture
capture_0006,tools/dataset/captures/serial20260626/capture_0006.jpg,serial20260626_positioning,vga,12,,,,,,,ok,15135,640,480,2026-06-26T16:25:50Z,,serial_capture
capture_0007,tools/dataset/captures/serial20260626/capture_0007.jpg,serial20260626_positioning,vga,12,,,,,,,ok,13561,640,480,2026-06-26T16:25:53Z,,serial_capture
capture_0008,tools/dataset/captures/serial20260626/capture_0008.jpg,serial20260626_positioning,vga,12,,,,,,,ok,15151,640,480,2026-06-26T16:25:55Z,,serial_capture
capture_0009,tools/dataset/captures/serial20260626/capture_0009.jpg,serial20260626_positioning,vga,12,,,,,,,ok,13575,640,480,2026-06-26T16:25:58Z,,serial_capture
capture_0010,tools/dataset/captures/serial20260626/capture_0010.jpg,serial20260626_positioning,vga,12,,,,,,,ok,15092,640,480,2026-06-26T16:26:01Z,,serial_capture
capture_0011,tools/dataset/captures/serial20260626/capture_0011.jpg,serial20260626_positioning,vga,12,,,,,,,ok,13550,640,480,2026-06-26T16:26:04Z,,serial_capture
capture_0012,tools/dataset/captures/serial20260626/capture_0012.jpg,serial20260626_positioning,vga,12,,,,,,,ok,13587,640,480,2026-06-26T16:26:07Z,,serial_capture
capture_0013,tools/dataset/captures/serial20260626/capture_0013.jpg,serial20260626_positioning,vga,12,,,,,,,ok,15099,640,480,2026-06-26T16:26:09Z,,serial_capture
capture_0014,tools/dataset/captures/serial20260626/capture_0014.jpg,serial20260626_positioning,vga,12,,,,,,,ok,13610,640,480,2026-06-26T16:26:12Z,,serial_capture
capture_0015,tools/dataset/captures/serial20260626/capture_0015.jpg,serial20260626_positioning,vga,12,,,,,,,ok,13601,640,480,2026-06-26T16:26:15Z,,serial_capture
capture_0016,tools/dataset/captures/serial20260626/capture_0016.jpg,serial20260626_positioning,vga,12,,,,,,,ok,15568,640,480,2026-06-26T16:26:18Z,,serial_capture
capture_0017,tools/dataset/captures/serial20260626/capture_0017.jpg,serial20260626_positioning,vga,12,,,,,,,ok,13531,640,480,2026-06-26T16:26:21Z,,serial_capture
capture_0018,tools/dataset/captures/serial20260626/capture_0018.jpg,serial20260626_positioning,vga,12,,,,,,,ok,13512,640,480,2026-06-26T16:26:24Z,,serial_capture
capture_0019,tools/dataset/captures/serial20260626/capture_0019.jpg,serial20260626_positioning,vga,12,,,,,,,ok,15042,640,480,2026-06-26T16:26:26Z,,serial_capture
capture_0020,tools/dataset/captures/serial20260626/capture_0020.jpg,serial20260626_positioning,vga,12,,,,,,,ok,15140,640,480,2026-06-26T16:26:29Z,,serial_capture
capture_0021,tools/dataset/captures/serial20260626/capture_0021.jpg,serial20260626_positioning,vga,12,,,,,,,ok,13561,640,480,2026-06-26T16:26:32Z,,serial_capture
capture_0022,tools/dataset/captures/serial20260626/capture_0022.jpg,serial20260626_positioning,vga,12,,,,,,,ok,15071,640,480,2026-06-26T16:26:35Z,,serial_capture
capture_0023,tools/dataset/captures/serial20260626/capture_0023.jpg,serial20260626_positioning,vga,12,,,,,,,ok,15125,640,480,2026-06-26T16:26:38Z,,serial_capture
capture_0024,tools/dataset/captures/serial20260626/capture_0024.jpg,serial20260626_positioning,vga,12,,,,,,,ok,13496,640,480,2026-06-26T16:26:41Z,,serial_capture
capture_0025,tools/dataset/captures/serial20260626/capture_0025.jpg,serial20260626_positioning,vga,12,,,,,,,ok,15124,640,480,2026-06-26T16:26:43Z,,serial_capture
