sample_id,image_path,temperature_c,humidity_percent,co2_ppm,hcho_raw,tvoc_raw,valid,split,notes,review_status,reviewer,reviewed_at_utc,proposal_model,prompt_version,source_proposals
capture_0015,tools/dataset/captures/serial_timed_fast_20260627T1205Z/capture_0015.jpg,28,46,838,64,178,true,train,timed_daylight_usb ollama_ocr,approved,owner-bulk-approved,2026-06-29T06:46:10+00:00,,,tools/dataset/captures/serial_timed_fast_20260627T1205Z/labels_ollama_review_queue.csv
capture_0018,tools/dataset/captures/serial_timed_fast_20260627T1205Z/capture_0018.jpg,28,46,833,64,173,true,train,timed_daylight_usb ollama_ocr,approved,owner-bulk-approved,2026-06-29T06:46:10+00:00,,,tools/dataset/captures/serial_timed_fast_20260627T1205Z/labels_ollama_review_queue.csv
capture_0021,tools/dataset/captures/serial_timed_fast_20260627T1205Z/capture_0021.jpg,28,46,833,65,82,true,train,timed_daylight_usb ollama_ocr,approved,owner-bulk-approved,2026-06-29T06:46:10+00:00,,,tools/dataset/captures/serial_timed_fast_20260627T1205Z/labels_ollama_review_queue.csv
capture_0024,tools/dataset/captures/serial_timed_fast_20260627T1205Z/capture_0024.jpg,28,46,838,64,178,true,train,timed_daylight_usb ollama_ocr,approved,owner-bulk-approved,2026-06-29T06:46:10+00:00,,,tools/dataset/captures/serial_timed_fast_20260627T1205Z/labels_ollama_review_queue.csv
capture_0026,tools/dataset/captures/serial_timed_fast_20260627T1205Z/capture_0026.jpg,28,46,833,54,178,true,train,timed_daylight_usb ollama_ocr,approved,owner-bulk-approved,2026-06-29T06:46:10+00:00,,,tools/dataset/captures/serial_timed_fast_20260627T1205Z/labels_ollama_review_queue.csv
capture_0029,tools/dataset/captures/serial_timed_fast_20260627T1205Z/capture_0029.jpg,28,46,838,65,82,true,train,timed_daylight_usb ollama_ocr,approved,owner-bulk-approved,2026-06-29T06:46:10+00:00,,,tools/dataset/captures/serial_timed_fast_20260627T1205Z/labels_ollama_review_queue.csv
capture_0032,tools/dataset/captures/serial_timed_fast_20260627T1205Z/capture_0032.jpg,28,46,838,65,82,true,train,timed_daylight_usb ollama_ocr,approved,owner-bulk-approved,2026-06-29T06:46:10+00:00,,,tools/dataset/captures/serial_timed_fast_20260627T1205Z/labels_ollama_review_queue.csv
capture_0035,tools/dataset/captures/serial_timed_fast_20260627T1205Z/capture_0035.jpg,28,46,838,65,82,true,train,timed_daylight_usb ollama_ocr,approved,owner-bulk-approved,2026-06-29T06:46:10+00:00,,,tools/dataset/captures/serial_timed_fast_20260627T1205Z/labels_ollama_review_queue.csv
capture_0038,tools/dataset/captures/serial_timed_fast_20260627T1205Z/capture_0038.jpg,28,46,833,54,178,true,train,timed_daylight_usb ollama_ocr,approved,owner-bulk-approved,2026-06-29T06:46:10+00:00,,,tools/dataset/captures/serial_timed_fast_20260627T1205Z/labels_ollama_review_queue.csv
capture_0041,tools/dataset/captures/serial_timed_fast_20260627T1205Z/capture_0041.jpg,28,46,833,64,173,true,train,timed_daylight_usb ollama_ocr,approved,owner-bulk-approved,2026-06-29T06:46:10+00:00,,,tools/dataset/captures/serial_timed_fast_20260627T1205Z/labels_ollama_review_queue.csv
capture_0044,tools/dataset/captures/serial_timed_fast_20260627T1205Z/capture_0044.jpg,28,46,833,54,173,true,train,timed_daylight_usb ollama_ocr,approved,owner-bulk-approved,2026-06-29T06:46:10+00:00,,,tools/dataset/captures/serial_timed_fast_20260627T1205Z/labels_ollama_review_queue.csv
capture_0047,tools/dataset/captures/serial_timed_fast_20260627T1205Z/capture_0047.jpg,28,46,833,54,173,true,train,timed_daylight_usb ollama_ocr,approved,owner-bulk-approved,2026-06-29T06:46:10+00:00,,,tools/dataset/captures/serial_timed_fast_20260627T1205Z/labels_ollama_review_queue.csv
capture_0053,tools/dataset/captures/serial_timed_fast_20260627T1205Z/capture_0053.jpg,28,46,833,54,173,true,train,timed_daylight_usb ollama_ocr,approved,owner-bulk-approved,2026-06-29T06:46:10+00:00,,,tools/dataset/captures/serial_timed_fast_20260627T1205Z/labels_ollama_review_queue.csv
capture_0056,tools/dataset/captures/serial_timed_fast_20260627T1205Z/capture_0056.jpg,28,46,833,54,173,true,train,timed_daylight_usb ollama_ocr,approved,owner-bulk-approved,2026-06-29T06:46:10+00:00,,,tools/dataset/captures/serial_timed_fast_20260627T1205Z/labels_ollama_review_queue.csv
capture_0059,tools/dataset/captures/serial_timed_fast_20260627T1205Z/capture_0059.jpg,28,46,833,64,13,true,train,timed_daylight_usb ollama_ocr,approved,owner-bulk-approved,2026-06-29T06:46:10+00:00,qwen3-vl:4b,aqs-five-field-v2,tools/dataset/captures/serial_timed_fast_20260627T1205Z/labels_ollama_review_queue.csv
capture_0062,tools/dataset/captures/serial_timed_fast_20260627T1205Z/capture_0062.jpg,28,46,827,63,16,true,train,timed_daylight_usb ollama_ocr,approved,owner-bulk-approved,2026-06-29T06:46:10+00:00,qwen3-vl:4b,aqs-five-field-v2,tools/dataset/captures/serial_timed_fast_20260627T1205Z/labels_ollama_review_queue.csv
capture_0065,tools/dataset/captures/serial_timed_fast_20260627T1205Z/capture_0065.jpg,28,46,827,63,16,true,train,timed_daylight_usb ollama_ocr,approved,owner-bulk-approved,2026-06-29T06:46:10+00:00,qwen3-vl:4b,aqs-five-field-v2,tools/dataset/captures/serial_timed_fast_20260627T1205Z/labels_ollama_review_queue.csv
capture_0068,tools/dataset/captures/serial_timed_fast_20260627T1205Z/capture_0068.jpg,28,46,833,64,18,true,train,timed_daylight_usb ollama_ocr,approved,owner-bulk-approved,2026-06-29T06:46:10+00:00,qwen3-vl:4b,aqs-five-field-v2,tools/dataset/captures/serial_timed_fast_20260627T1205Z/labels_ollama_review_queue.csv
capture_0071,tools/dataset/captures/serial_timed_fast_20260627T1205Z/capture_0071.jpg,28,46,833,64,13,true,train,timed_daylight_usb ollama_ocr,approved,owner-bulk-approved,2026-06-29T06:46:10+00:00,qwen3-vl:4b,aqs-five-field-v2,tools/dataset/captures/serial_timed_fast_20260627T1205Z/labels_ollama_review_queue.csv
capture_0074,tools/dataset/captures/serial_timed_fast_20260627T1205Z/capture_0074.jpg,28,46,833,64,13,true,train,timed_daylight_usb ollama_ocr,approved,owner-bulk-approved,2026-06-29T06:46:10+00:00,qwen3-vl:4b,aqs-five-field-v2,tools/dataset/captures/serial_timed_fast_20260627T1205Z/labels_ollama_review_queue.csv
capture_0077,tools/dataset/captures/serial_timed_fast_20260627T1205Z/capture_0077.jpg,28,46,827,64,13,true,train,timed_daylight_usb ollama_ocr,approved,owner-bulk-approved,2026-06-29T06:46:10+00:00,qwen3-vl:4b,aqs-five-field-v2,tools/dataset/captures/serial_timed_fast_20260627T1205Z/labels_ollama_review_queue.csv
capture_0079,tools/dataset/captures/serial_timed_fast_20260627T1205Z/capture_0079.jpg,28,46,827,63,18,true,train,timed_daylight_usb ollama_ocr,approved,owner-bulk-approved,2026-06-29T06:46:10+00:00,qwen3-vl:4b,aqs-five-field-v2,tools/dataset/captures/serial_timed_fast_20260627T1205Z/labels_ollama_review_queue.csv
capture_0082,tools/dataset/captures/serial_timed_fast_20260627T1205Z/capture_0082.jpg,28,46,827,63,18,true,train,timed_daylight_usb ollama_ocr,approved,owner-bulk-approved,2026-06-29T06:46:10+00:00,qwen3-vl:4b,aqs-five-field-v2,tools/dataset/captures/serial_timed_fast_20260627T1205Z/labels_ollama_review_queue.csv
capture_0085,tools/dataset/captures/serial_timed_fast_20260627T1205Z/capture_0085.jpg,28,46,827,63,13,true,train,timed_daylight_usb ollama_ocr,approved,owner-bulk-approved,2026-06-29T06:46:10+00:00,qwen3-vl:4b,aqs-five-field-v2,tools/dataset/captures/serial_timed_fast_20260627T1205Z/labels_ollama_review_queue.csv
capture_0088,tools/dataset/captures/serial_timed_fast_20260627T1205Z/capture_0088.jpg,28,46,822,62,173,true,train,timed_daylight_usb ollama_ocr,approved,owner-bulk-approved,2026-06-29T06:46:10+00:00,,,tools/dataset/captures/serial_timed_fast_20260627T1205Z/labels_ollama_review_queue.csv
capture_0091,tools/dataset/captures/serial_timed_fast_20260627T1205Z/capture_0091.jpg,28,46,822,62,13,true,train,timed_daylight_usb ollama_ocr,approved,owner-bulk-approved,2026-06-29T06:46:10+00:00,qwen3-vl:4b,aqs-five-field-v2,tools/dataset/captures/serial_timed_fast_20260627T1205Z/labels_ollama_review_queue.csv
capture_0094,tools/dataset/captures/serial_timed_fast_20260627T1205Z/capture_0094.jpg,28,46,827,63,16,true,train,timed_daylight_usb ollama_ocr,approved,owner-bulk-approved,2026-06-29T06:46:10+00:00,qwen3-vl:4b,aqs-five-field-v2,tools/dataset/captures/serial_timed_fast_20260627T1205Z/labels_ollama_review_queue.csv
capture_0097,tools/dataset/captures/serial_timed_fast_20260627T1205Z/capture_0097.jpg,28,46,827,63,16,true,train,timed_daylight_usb ollama_ocr,approved,owner-bulk-approved,2026-06-29T06:46:10+00:00,qwen3-vl:4b,aqs-five-field-v2,tools/dataset/captures/serial_timed_fast_20260627T1205Z/labels_ollama_review_queue.csv
capture_0100,tools/dataset/captures/serial_timed_fast_20260627T1205Z/capture_0100.jpg,28,46,794,57,62,true,train,timed_daylight_usb ollama_ocr,approved,owner-bulk-approved,2026-06-29T06:46:10+00:00,qwen3-vl:4b,aqs-five-field-v2,tools/dataset/captures/serial_timed_fast_20260627T1205Z/labels_ollama_review_queue.csv
capture_0103,tools/dataset/captures/serial_timed_fast_20260627T1205Z/capture_0103.jpg,28,46,794,57,62,true,train,timed_daylight_usb ollama_ocr,approved,owner-bulk-approved,2026-06-29T06:46:10+00:00,qwen3-vl:4b,aqs-five-field-v2,tools/dataset/captures/serial_timed_fast_20260627T1205Z/labels_ollama_review_queue.csv
capture_0106,tools/dataset/captures/serial_timed_fast_20260627T1205Z/capture_0106.jpg,28,46,794,57,62,true,train,timed_daylight_usb ollama_ocr,approved,owner-bulk-approved,2026-06-29T06:46:10+00:00,qwen3-vl:4b,aqs-five-field-v2,tools/dataset/captures/serial_timed_fast_20260627T1205Z/labels_ollama_review_queue.csv
capture_0109,tools/dataset/captures/serial_timed_fast_20260627T1205Z/capture_0109.jpg,28,46,789,56,56,true,train,timed_daylight_usb ollama_ocr,approved,owner-bulk-approved,2026-06-29T06:46:10+00:00,qwen3-vl:4b,aqs-five-field-v2,tools/dataset/captures/serial_timed_fast_20260627T1205Z/labels_ollama_review_queue.csv
capture_0112,tools/dataset/captures/serial_timed_fast_20260627T1205Z/capture_0112.jpg,28,46,789,56,56,true,train,timed_daylight_usb ollama_ocr,approved,owner-bulk-approved,2026-06-29T06:46:10+00:00,qwen3-vl:4b,aqs-five-field-v2,tools/dataset/captures/serial_timed_fast_20260627T1205Z/labels_ollama_review_queue.csv
capture_0118,tools/dataset/captures/serial_timed_fast_20260627T1205Z/capture_0118.jpg,28,46,789,56,56,true,train,timed_daylight_usb ollama_ocr,approved,owner-bulk-approved,2026-06-29T06:46:10+00:00,qwen3-vl:4b,aqs-five-field-v2,tools/dataset/captures/serial_timed_fast_20260627T1205Z/labels_ollama_review_queue.csv
capture_0121,tools/dataset/captures/serial_timed_fast_20260627T1205Z/capture_0121.jpg,28,46,794,56,56,true,train,timed_daylight_usb ollama_ocr,approved,owner-bulk-approved,2026-06-29T06:46:10+00:00,qwen3-vl:4b,aqs-five-field-v2,tools/dataset/captures/serial_timed_fast_20260627T1205Z/labels_ollama_review_queue.csv
capture_0124,tools/dataset/captures/serial_timed_fast_20260627T1205Z/capture_0124.jpg,28,46,789,56,56,true,train,timed_daylight_usb ollama_ocr,approved,owner-bulk-approved,2026-06-29T06:46:10+00:00,qwen3-vl:4b,aqs-five-field-v2,tools/dataset/captures/serial_timed_fast_20260627T1205Z/labels_ollama_review_queue.csv
