sample_id,image_path,temperature_c,humidity_percent,co2_ppm,hcho_raw,tvoc_raw,valid,split,notes,review_status,reviewer,reviewed_at_utc,proposal_model,prompt_version,source_proposals,consensus_status,consensus_reason,consensus_models,consensus_votes
capture_0109,tools/dataset/captures/serial_timed_fast_20260627T1205Z/capture_0109.jpg,28,46,789,56,56,true,train,auto_consensus,automated_consensus,auto-consensus,2026-07-21T21:35:44+00:00,minicpm-v:latest+qwen3-vl:4b,aqs-five-field-v2,tools/dataset/captures/serial_timed_fast_20260627T1205Z/labels_ollama_proposals.csv+tools/dataset/captures/serial_timed_fast_20260627T1205Z/labels_ollama_proposals_minicpm.csv,promoted,multi_model_exact_consensus,minicpm-v:latest+qwen3-vl:4b,2
capture_0112,tools/dataset/captures/serial_timed_fast_20260627T1205Z/capture_0112.jpg,28,46,789,56,56,true,train,auto_consensus,automated_consensus,auto-consensus,2026-07-21T21:35:44+00:00,minicpm-v:latest+qwen3-vl:4b,aqs-five-field-v2,tools/dataset/captures/serial_timed_fast_20260627T1205Z/labels_ollama_proposals.csv+tools/dataset/captures/serial_timed_fast_20260627T1205Z/labels_ollama_proposals_minicpm.csv,promoted,multi_model_exact_consensus,minicpm-v:latest+qwen3-vl:4b,2
capture_0118,tools/dataset/captures/serial_timed_fast_20260627T1205Z/capture_0118.jpg,28,46,789,56,56,true,train,auto_consensus,automated_consensus,auto-consensus,2026-07-21T21:35:44+00:00,minicpm-v:latest+qwen3-vl:4b,aqs-five-field-v2,tools/dataset/captures/serial_timed_fast_20260627T1205Z/labels_ollama_proposals.csv+tools/dataset/captures/serial_timed_fast_20260627T1205Z/labels_ollama_proposals_minicpm.csv,promoted,multi_model_exact_consensus,minicpm-v:latest+qwen3-vl:4b,2
capture_0121,tools/dataset/captures/serial_timed_fast_20260627T1205Z/capture_0121.jpg,28,46,794,56,56,true,train,auto_consensus,automated_consensus,auto-consensus,2026-07-21T21:35:44+00:00,minicpm-v:latest+qwen3-vl:4b,aqs-five-field-v2,tools/dataset/captures/serial_timed_fast_20260627T1205Z/labels_ollama_proposals.csv+tools/dataset/captures/serial_timed_fast_20260627T1205Z/labels_ollama_proposals_minicpm.csv,promoted,multi_model_exact_consensus,minicpm-v:latest+qwen3-vl:4b,2
capture_0124,tools/dataset/captures/serial_timed_fast_20260627T1205Z/capture_0124.jpg,28,46,789,56,56,true,train,auto_consensus,automated_consensus,auto-consensus,2026-07-21T21:35:44+00:00,minicpm-v:latest+qwen3-vl:4b,aqs-five-field-v2,tools/dataset/captures/serial_timed_fast_20260627T1205Z/labels_ollama_proposals.csv+tools/dataset/captures/serial_timed_fast_20260627T1205Z/labels_ollama_proposals_minicpm.csv,promoted,multi_model_exact_consensus,minicpm-v:latest+qwen3-vl:4b,2
capture_0127,tools/dataset/captures/serial_timed_fast_20260627T1205Z/capture_0127.jpg,28,46,789,56,56,true,train,auto_consensus,automated_consensus,auto-consensus,2026-07-21T21:35:44+00:00,minicpm-v:latest+qwen3-vl:4b,aqs-five-field-v2,tools/dataset/captures/serial_timed_fast_20260627T1205Z/labels_ollama_proposals.csv+tools/dataset/captures/serial_timed_fast_20260627T1205Z/labels_ollama_proposals_minicpm.csv,promoted,multi_model_exact_consensus,minicpm-v:latest+qwen3-vl:4b,2
capture_0163,tools/dataset/captures/serial_timed_fast_20260627T1205Z/capture_0163.jpg,28,46,789,56,56,true,train,auto_consensus,automated_consensus,auto-consensus,2026-07-21T21:35:44+00:00,minicpm-v:latest+qwen3-vl:4b,aqs-five-field-v2,tools/dataset/captures/serial_timed_fast_20260627T1205Z/labels_ollama_proposals.csv+tools/dataset/captures/serial_timed_fast_20260627T1205Z/labels_ollama_proposals_minicpm.csv,promoted,multi_model_exact_consensus,minicpm-v:latest+qwen3-vl:4b,2
capture_0166,tools/dataset/captures/serial_timed_fast_20260627T1205Z/capture_0166.jpg,28,46,789,56,56,true,train,auto_consensus,automated_consensus,auto-consensus,2026-07-21T21:35:44+00:00,minicpm-v:latest+qwen3-vl:4b,aqs-five-field-v2,tools/dataset/captures/serial_timed_fast_20260627T1205Z/labels_ollama_proposals.csv+tools/dataset/captures/serial_timed_fast_20260627T1205Z/labels_ollama_proposals_minicpm.csv,promoted,multi_model_exact_consensus,minicpm-v:latest+qwen3-vl:4b,2
capture_0175,tools/dataset/captures/serial_timed_fast_20260627T1205Z/capture_0175.jpg,28,46,783,54,54,true,train,auto_consensus,automated_consensus,auto-consensus,2026-07-21T21:35:44+00:00,minicpm-v:latest+qwen3-vl:4b,aqs-five-field-v2,tools/dataset/captures/serial_timed_fast_20260627T1205Z/labels_ollama_proposals.csv+tools/dataset/captures/serial_timed_fast_20260627T1205Z/labels_ollama_proposals_minicpm.csv,promoted,multi_model_exact_consensus,minicpm-v:latest+qwen3-vl:4b,2
capture_0586,tools/dataset/captures/serial_timed_fast_20260627T1205Z/capture_0586.jpg,28,45,668,34,95,true,train,auto_consensus,automated_consensus,auto-consensus,2026-07-21T21:35:44+00:00,minicpm-v:latest+qwen3-vl:4b,aqs-five-field-v2,tools/dataset/captures/serial_timed_fast_20260627T1205Z/labels_ollama_proposals.csv+tools/dataset/captures/serial_timed_fast_20260627T1205Z/labels_ollama_proposals_minicpm.csv,promoted,multi_model_exact_consensus,minicpm-v:latest+qwen3-vl:4b,2
