sample_id,image_path,temperature_c,humidity_percent,co2_ppm,hcho_raw,tvoc_raw,valid,split,notes,proposal_status,model,prompt_version,labeled_at_utc,attempts,duration_seconds
capture_0011,tools/dataset/captures/serial_timed_fast_20260627T1205Z/capture_0011.jpg,28,46,838,65,179,true,train,timed_daylight_usb ollama_ocr,,,,,,
capture_0015,tools/dataset/captures/serial_timed_fast_20260627T1205Z/capture_0015.jpg,28,46,838,64,178,true,train,timed_daylight_usb ollama_ocr,,,,,,
capture_0018,tools/dataset/captures/serial_timed_fast_20260627T1205Z/capture_0018.jpg,28,46,833,64,173,true,train,timed_daylight_usb ollama_ocr,,,,,,
capture_0021,tools/dataset/captures/serial_timed_fast_20260627T1205Z/capture_0021.jpg,28,46,833,65,82,true,train,timed_daylight_usb ollama_ocr,,,,,,
capture_0024,tools/dataset/captures/serial_timed_fast_20260627T1205Z/capture_0024.jpg,28,46,838,64,178,true,train,timed_daylight_usb ollama_ocr,,,,,,
capture_0026,tools/dataset/captures/serial_timed_fast_20260627T1205Z/capture_0026.jpg,28,46,833,54,178,true,train,timed_daylight_usb ollama_ocr,,,,,,
capture_0029,tools/dataset/captures/serial_timed_fast_20260627T1205Z/capture_0029.jpg,28,46,838,65,82,true,train,timed_daylight_usb ollama_ocr,,,,,,
capture_0032,tools/dataset/captures/serial_timed_fast_20260627T1205Z/capture_0032.jpg,28,46,838,65,82,true,train,timed_daylight_usb ollama_ocr,,,,,,
capture_0035,tools/dataset/captures/serial_timed_fast_20260627T1205Z/capture_0035.jpg,28,46,838,65,82,true,train,timed_daylight_usb ollama_ocr,,,,,,
capture_0038,tools/dataset/captures/serial_timed_fast_20260627T1205Z/capture_0038.jpg,28,46,833,54,178,true,train,timed_daylight_usb ollama_ocr,,,,,,
capture_0041,tools/dataset/captures/serial_timed_fast_20260627T1205Z/capture_0041.jpg,28,46,833,64,173,true,train,timed_daylight_usb ollama_ocr,,,,,,
capture_0044,tools/dataset/captures/serial_timed_fast_20260627T1205Z/capture_0044.jpg,28,46,833,54,173,true,train,timed_daylight_usb ollama_ocr,,,,,,
capture_0047,tools/dataset/captures/serial_timed_fast_20260627T1205Z/capture_0047.jpg,28,46,833,54,173,true,train,timed_daylight_usb ollama_ocr,,,,,,
capture_0050,tools/dataset/captures/serial_timed_fast_20260627T1205Z/capture_0050.jpg,28,6,833,64,178,true,train,timed_daylight_usb ollama_ocr,,,,,,
capture_0053,tools/dataset/captures/serial_timed_fast_20260627T1205Z/capture_0053.jpg,28,46,833,54,173,true,train,timed_daylight_usb ollama_ocr,,,,,,
capture_0056,tools/dataset/captures/serial_timed_fast_20260627T1205Z/capture_0056.jpg,28,46,833,54,173,true,train,timed_daylight_usb ollama_ocr,,,,,,
capture_0059,tools/dataset/captures/serial_timed_fast_20260627T1205Z/capture_0059.jpg,28,46,833,64,13,true,train,timed_daylight_usb ollama_ocr,accepted,qwen3-vl:4b,aqs-five-field-v2,2026-06-29T06:26:11+00:00,1,10.0
capture_0062,tools/dataset/captures/serial_timed_fast_20260627T1205Z/capture_0062.jpg,28,46,827,63,16,true,train,timed_daylight_usb ollama_ocr,accepted,qwen3-vl:4b,aqs-five-field-v2,2026-06-29T05:56:49+00:00,1,3.1
capture_0065,tools/dataset/captures/serial_timed_fast_20260627T1205Z/capture_0065.jpg,28,46,827,63,16,true,train,timed_daylight_usb ollama_ocr,accepted,qwen3-vl:4b,aqs-five-field-v2,2026-06-29T06:25:01+00:00,1,10.0
capture_0068,tools/dataset/captures/serial_timed_fast_20260627T1205Z/capture_0068.jpg,28,46,833,64,18,true,train,timed_daylight_usb ollama_ocr,accepted,qwen3-vl:4b,aqs-five-field-v2,2026-06-29T06:18:05+00:00,1,9.9
capture_0071,tools/dataset/captures/serial_timed_fast_20260627T1205Z/capture_0071.jpg,28,46,833,64,13,true,train,timed_daylight_usb ollama_ocr,accepted,qwen3-vl:4b,aqs-five-field-v2,2026-06-29T06:07:47+00:00,1,9.8
capture_0074,tools/dataset/captures/serial_timed_fast_20260627T1205Z/capture_0074.jpg,28,46,833,64,13,true,train,timed_daylight_usb ollama_ocr,accepted,qwen3-vl:4b,aqs-five-field-v2,2026-06-29T05:32:07+00:00,1,2.7
capture_0077,tools/dataset/captures/serial_timed_fast_20260627T1205Z/capture_0077.jpg,28,46,827,64,13,true,train,timed_daylight_usb ollama_ocr,accepted,qwen3-vl:4b,aqs-five-field-v2,2026-06-29T06:15:37+00:00,1,10.0
capture_0079,tools/dataset/captures/serial_timed_fast_20260627T1205Z/capture_0079.jpg,28,46,827,63,18,true,train,timed_daylight_usb ollama_ocr,accepted,qwen3-vl:4b,aqs-five-field-v2,2026-06-29T06:26:40+00:00,1,10.0
capture_0082,tools/dataset/captures/serial_timed_fast_20260627T1205Z/capture_0082.jpg,28,46,827,63,18,true,train,timed_daylight_usb ollama_ocr,accepted,qwen3-vl:4b,aqs-five-field-v2,2026-06-29T05:48:12+00:00,1,3.1
capture_0085,tools/dataset/captures/serial_timed_fast_20260627T1205Z/capture_0085.jpg,28,46,827,63,13,true,train,timed_daylight_usb ollama_ocr,accepted,qwen3-vl:4b,aqs-five-field-v2,2026-06-29T05:55:31+00:00,1,3.1
capture_0088,tools/dataset/captures/serial_timed_fast_20260627T1205Z/capture_0088.jpg,28,46,822,62,173,true,train,timed_daylight_usb ollama_ocr,,,,,,
