sample_id,image_path,temperature_c,humidity_percent,co2_ppm,hcho_raw,tvoc_raw,valid,split,notes,proposal_status,model,prompt_version,labeled_at_utc,attempts,duration_seconds
capture_0011,tools/dataset/captures/serial_timed_fast_20260627T1205Z/capture_0011.jpg,28,46,838,5,79,true,train,ollama_ocr,accepted,minicpm-v:latest,aqs-five-field-v2,2026-07-21T21:35:13+00:00,1,4.3
capture_0015,tools/dataset/captures/serial_timed_fast_20260627T1205Z/capture_0015.jpg,28,46,838,54,79,true,train,ollama_ocr,accepted,minicpm-v:latest,aqs-five-field-v2,2026-07-21T21:33:41+00:00,1,4.3
capture_0018,tools/dataset/captures/serial_timed_fast_20260627T1205Z/capture_0018.jpg,28,46,83,64,79,false,train,ocr_invalid_or_implausible,rejected,minicpm-v:latest,aqs-five-field-v2,2026-07-21T21:32:36+00:00,1,4.2
capture_0021,tools/dataset/captures/serial_timed_fast_20260627T1205Z/capture_0021.jpg,28,46,83,65,82,false,train,ocr_invalid_or_implausible,rejected,minicpm-v:latest,aqs-five-field-v2,2026-07-21T21:35:00+00:00,1,4.3
capture_0024,tools/dataset/captures/serial_timed_fast_20260627T1205Z/capture_0024.jpg,28,46,838,54,79,true,train,ollama_ocr,accepted,minicpm-v:latest,aqs-five-field-v2,2026-07-21T20:49:26+00:00,1,4.3
capture_0026,tools/dataset/captures/serial_timed_fast_20260627T1205Z/capture_0026.jpg,28,46,833,54,79,true,train,ollama_ocr,accepted,minicpm-v:latest,aqs-five-field-v2,2026-07-21T21:06:04+00:00,1,4.3
capture_0029,tools/dataset/captures/serial_timed_fast_20260627T1205Z/capture_0029.jpg,28,46,838,5,82,true,train,ollama_ocr,accepted,minicpm-v:latest,aqs-five-field-v2,2026-07-21T21:02:59+00:00,1,4.3
capture_0032,tools/dataset/captures/serial_timed_fast_20260627T1205Z/capture_0032.jpg,28,46,838,56,82,true,train,ollama_ocr,accepted,minicpm-v:latest,aqs-five-field-v2,2026-07-21T20:52:38+00:00,1,4.3
capture_0035,tools/dataset/captures/serial_timed_fast_20260627T1205Z/capture_0035.jpg,28,46,838,5,82,true,train,ollama_ocr,accepted,minicpm-v:latest,aqs-five-field-v2,2026-07-21T21:01:45+00:00,1,4.2
capture_0038,tools/dataset/captures/serial_timed_fast_20260627T1205Z/capture_0038.jpg,28,46,833,54,79,true,train,ollama_ocr,accepted,minicpm-v:latest,aqs-five-field-v2,2026-07-21T21:03:25+00:00,1,4.3
capture_0041,tools/dataset/captures/serial_timed_fast_20260627T1205Z/capture_0041.jpg,28,46,833,64,79,true,train,ollama_ocr,accepted,minicpm-v:latest,aqs-five-field-v2,2026-07-21T20:55:03+00:00,1,4.3
capture_0044,tools/dataset/captures/serial_timed_fast_20260627T1205Z/capture_0044.jpg,28,46,83,64,79,false,train,ocr_invalid_or_implausible,rejected,minicpm-v:latest,aqs-five-field-v2,2026-07-21T20:50:22+00:00,1,4.3
capture_0047,tools/dataset/captures/serial_timed_fast_20260627T1205Z/capture_0047.jpg,28,46,833,54,79,true,train,ollama_ocr,accepted,minicpm-v:latest,aqs-five-field-v2,2026-07-21T21:09:30+00:00,1,4.3
capture_0050,tools/dataset/captures/serial_timed_fast_20260627T1205Z/capture_0050.jpg,28,-1,833,54,36,false,train,ocr_invalid_or_implausible,rejected,minicpm-v:latest,aqs-five-field-v2,2026-07-21T20:37:19+00:00,1,4.3
capture_0053,tools/dataset/captures/serial_timed_fast_20260627T1205Z/capture_0053.jpg,28,46,83,64,79,false,train,ocr_invalid_or_implausible,rejected,minicpm-v:latest,aqs-five-field-v2,2026-07-21T20:37:41+00:00,1,4.3
capture_0056,tools/dataset/captures/serial_timed_fast_20260627T1205Z/capture_0056.jpg,28,46,833,54,79,true,train,ollama_ocr,accepted,minicpm-v:latest,aqs-five-field-v2,2026-07-21T21:11:02+00:00,1,4.3
capture_0059,tools/dataset/captures/serial_timed_fast_20260627T1205Z/capture_0059.jpg,28,46,833,54,79,true,train,ollama_ocr,accepted,minicpm-v:latest,aqs-five-field-v2,2026-07-21T20:59:25+00:00,1,4.3
capture_0062,tools/dataset/captures/serial_timed_fast_20260627T1205Z/capture_0062.jpg,28,46,827,53,46,true,train,ollama_ocr,accepted,minicpm-v:latest,aqs-five-field-v2,2026-07-21T21:01:19+00:00,1,4.3
