sample_id,image_path,lighting_label,framesize,quality,brightness,contrast,saturation,aec,agc,awb,serial_status,bytes,width,height,captured_at_utc,display_text,notes
capture_0001,tools/dataset/captures/serial_timed_fast_20260627T1205Z/capture_0001.jpg,timed_daylight_usb,vga,8,2,2,0,0,0,0,failed,0,,,2026-06-27T09:59:06Z,,FEVER_CAPTURE_ERROR reason=capture_not_ready
capture_0002,tools/dataset/captures/serial_timed_fast_20260627T1205Z/capture_0002.jpg,timed_daylight_usb,vga,8,2,2,0,0,0,0,failed,0,,,2026-06-27T09:59:07Z,,FEVER_CAPTURE_ERROR reason=capture_not_ready
capture_0003,tools/dataset/captures/serial_timed_fast_20260627T1205Z/capture_0003.jpg,timed_daylight_usb,vga,8,2,2,0,0,0,0,failed,0,,,2026-06-27T09:59:08Z,,FEVER_CAPTURE_ERROR reason=capture_not_ready
capture_0004,tools/dataset/captures/serial_timed_fast_20260627T1205Z/capture_0004.jpg,timed_daylight_usb,vga,8,2,2,0,0,0,0,failed,0,,,2026-06-27T09:59:09Z,,FEVER_CAPTURE_ERROR reason=capture_not_ready
capture_0005,tools/dataset/captures/serial_timed_fast_20260627T1205Z/capture_0005.jpg,timed_daylight_usb,vga,8,2,2,0,0,0,0,failed,0,,,2026-06-27T09:59:10Z,,FEVER_CAPTURE_ERROR reason=capture_not_ready
capture_0006,tools/dataset/captures/serial_timed_fast_20260627T1205Z/capture_0006.jpg,timed_daylight_usb,vga,8,2,2,0,0,0,0,failed,0,,,2026-06-27T09:59:11Z,,FEVER_CAPTURE_ERROR reason=capture_not_ready
capture_0007,tools/dataset/captures/serial_timed_fast_20260627T1205Z/capture_0007.jpg,timed_daylight_usb,vga,8,2,2,0,0,0,0,failed,0,,,2026-06-27T09:59:12Z,,FEVER_CAPTURE_ERROR reason=capture_not_ready
capture_0008,tools/dataset/captures/serial_timed_fast_20260627T1205Z/capture_0008.jpg,timed_daylight_usb,vga,8,2,2,0,0,0,0,failed,0,,,2026-06-27T09:59:13Z,,FEVER_CAPTURE_ERROR reason=capture_not_ready
capture_0009,tools/dataset/captures/serial_timed_fast_20260627T1205Z/capture_0009.jpg,timed_daylight_usb,vga,8,2,2,0,0,0,0,failed,0,,,2026-06-27T09:59:14Z,,FEVER_CAPTURE_ERROR reason=capture_not_ready
capture_0010,tools/dataset/captures/serial_timed_fast_20260627T1205Z/capture_0010.jpg,timed_daylight_usb,vga,8,2,2,0,0,0,0,failed,0,,,2026-06-27T09:59:16Z,,FEVER_CAPTURE_ERROR reason=capture_not_ready
capture_0011,tools/dataset/captures/serial_timed_fast_20260627T1205Z/capture_0011.jpg,timed_daylight_usb,vga,8,2,2,0,0,0,0,ok,19787,640,480,2026-06-27T09:59:17Z,,serial_periodic_cache
capture_0012,tools/dataset/captures/serial_timed_fast_20260627T1205Z/capture_0012.jpg,timed_daylight_usb,vga,8,2,2,0,0,0,0,duplicate,19787,640,480,2026-06-27T09:59:20Z,,periodic_cache_unchanged
capture_0013,tools/dataset/captures/serial_timed_fast_20260627T1205Z/capture_0013.jpg,timed_daylight_usb,vga,8,2,2,0,0,0,0,duplicate,19787,640,480,2026-06-27T09:59:23Z,,periodic_cache_unchanged
capture_0014,tools/dataset/captures/serial_timed_fast_20260627T1205Z/capture_0014.jpg,timed_daylight_usb,vga,8,2,2,0,0,0,0,failed,0,,,2026-06-27T09:59:27Z,,Only base64 data is allowed
capture_0015,tools/dataset/captures/serial_timed_fast_20260627T1205Z/capture_0015.jpg,timed_daylight_usb,vga,8,2,2,0,0,0,0,ok,26115,640,480,2026-06-27T09:59:31Z,,serial_periodic_cache
capture_0016,tools/dataset/captures/serial_timed_fast_20260627T1205Z/capture_0016.jpg,timed_daylight_usb,vga,8,2,2,0,0,0,0,duplicate,26115,640,480,2026-06-27T09:59:35Z,,periodic_cache_unchanged
capture_0017,tools/dataset/captures/serial_timed_fast_20260627T1205Z/capture_0017.jpg,timed_daylight_usb,vga,8,2,2,0,0,0,0,duplicate,26115,640,480,2026-06-27T09:59:39Z,,periodic_cache_unchanged
capture_0018,tools/dataset/captures/serial_timed_fast_20260627T1205Z/capture_0018.jpg,timed_daylight_usb,vga,8,2,2,0,0,0,0,ok,26112,640,480,2026-06-27T09:59:43Z,,serial_periodic_cache
capture_0019,tools/dataset/captures/serial_timed_fast_20260627T1205Z/capture_0019.jpg,timed_daylight_usb,vga,8,2,2,0,0,0,0,duplicate,26112,640,480,2026-06-27T09:59:47Z,,periodic_cache_unchanged
capture_0020,tools/dataset/captures/serial_timed_fast_20260627T1205Z/capture_0020.jpg,timed_daylight_usb,vga,8,2,2,0,0,0,0,duplicate,26112,640,480,2026-06-27T09:59:52Z,,periodic_cache_unchanged
capture_0021,tools/dataset/captures/serial_timed_fast_20260627T1205Z/capture_0021.jpg,timed_daylight_usb,vga,8,2,2,0,0,0,0,ok,26132,640,480,2026-06-27T09:59:56Z,,serial_periodic_cache
capture_0022,tools/dataset/captures/serial_timed_fast_20260627T1205Z/capture_0022.jpg,timed_daylight_usb,vga,8,2,2,0,0,0,0,duplicate,26132,640,480,2026-06-27T10:00:00Z,,periodic_cache_unchanged
capture_0023,tools/dataset/captures/serial_timed_fast_20260627T1205Z/capture_0023.jpg,timed_daylight_usb,vga,8,2,2,0,0,0,0,duplicate,26132,640,480,2026-06-27T10:00:04Z,,periodic_cache_unchanged
capture_0024,tools/dataset/captures/serial_timed_fast_20260627T1205Z/capture_0024.jpg,timed_daylight_usb,vga,8,2,2,0,0,0,0,ok,25893,640,480,2026-06-27T10:00:09Z,,serial_periodic_cache
capture_0025,tools/dataset/captures/serial_timed_fast_20260627T1205Z/capture_0025.jpg,timed_daylight_usb,vga,8,2,2,0,0,0,0,duplicate,25893,640,480,2026-06-27T10:00:13Z,,periodic_cache_unchanged
capture_0026,tools/dataset/captures/serial_timed_fast_20260627T1205Z/capture_0026.jpg,timed_daylight_usb,vga,8,2,2,0,0,0,0,ok,25932,640,480,2026-06-27T10:00:17Z,,serial_periodic_cache
capture_0027,tools/dataset/captures/serial_timed_fast_20260627T1205Z/capture_0027.jpg,timed_daylight_usb,vga,8,2,2,0,0,0,0,duplicate,25932,640,480,2026-06-27T10:00:21Z,,periodic_cache_unchanged
capture_0028,tools/dataset/captures/serial_timed_fast_20260627T1205Z/capture_0028.jpg,timed_daylight_usb,vga,8,2,2,0,0,0,0,duplicate,25932,640,480,2026-06-27T10:00:25Z,,periodic_cache_unchanged
