sample_id,image_path,lighting_label,split,display_text,predicted_display_text,temperature_text,temperature_c,humidity_percent,valid,confidence,roi_brightness,roi_contrast,roi_sharpness,notes
capture_0001,tools/dataset/captures/stability_20260625T183410Z/capture_0001.jpg,stability_direct_stream,train,30C 44%,30C 44%,30C,30.00,44,true,0.4609,29.15,32.76,3.15,human_confirmed_fixed_layout_baseline
capture_0002,tools/dataset/captures/stability_20260625T183410Z/capture_0002.jpg,stability_direct_stream,train,30C 44%,30C 44%,30C,30.00,44,true,0.1026,6.66,6.03,0.51,human_confirmed_fixed_layout_baseline;low_roi_quality
capture_0003,tools/dataset/captures/stability_20260625T183410Z/capture_0003.jpg,stability_direct_stream,train,30C 44%,30C 44%,30C,30.00,44,true,0.2812,16.22,19.77,1.73,human_confirmed_fixed_layout_baseline;low_roi_quality
capture_0004,tools/dataset/captures/stability_20260625T183410Z/capture_0004.jpg,stability_direct_stream,train,30C 44%,30C 44%,30C,30.00,44,true,0.0963,6.39,5.55,0.46,human_confirmed_fixed_layout_baseline;low_roi_quality
capture_0005,tools/dataset/captures/stability_20260625T183410Z/capture_0005.jpg,stability_direct_stream,validation,30C 44%,30C 44%,30C,30.00,44,true,0.1048,6.88,6.26,0.49,human_confirmed_fixed_layout_baseline;low_roi_quality
capture_0006,tools/dataset/captures/stability_20260625T183410Z/capture_0006.jpg,stability_direct_stream,train,30C 44%,30C 44%,30C,30.00,44,true,0.0921,6.48,5.16,0.45,human_confirmed_fixed_layout_baseline;low_roi_quality
capture_0007,tools/dataset/captures/stability_20260625T183410Z/capture_0007.jpg,stability_direct_stream,train,30C 44%,30C 44%,30C,30.00,44,true,0.1068,7.04,6.29,0.56,human_confirmed_fixed_layout_baseline;low_roi_quality
capture_0008,tools/dataset/captures/stability_20260625T183410Z/capture_0008.jpg,stability_direct_stream,train,30C 44%,30C 44%,30C,30.00,44,true,0.1556,9.80,10.06,0.88,human_confirmed_fixed_layout_baseline;low_roi_quality
capture_0009,tools/dataset/captures/stability_20260625T183410Z/capture_0009.jpg,stability_direct_stream,train,30C 44%,30C 44%,30C,30.00,44,true,0.1807,10.56,12.10,1.03,human_confirmed_fixed_layout_baseline;low_roi_quality
capture_0010,tools/dataset/captures/stability_20260625T183410Z/capture_0010.jpg,stability_direct_stream,test,30C 44%,30C 44%,30C,30.00,44,true,0.0889,6.18,4.90,0.43,human_confirmed_fixed_layout_baseline;low_roi_quality
capture_0011,tools/dataset/captures/stability_20260625T183410Z/capture_0011.jpg,stability_direct_stream,train,30C 44%,30C 44%,30C,30.00,44,true,0.1721,9.88,11.49,0.96,human_confirmed_fixed_layout_baseline;low_roi_quality
capture_0012,tools/dataset/captures/stability_20260625T183410Z/capture_0012.jpg,stability_direct_stream,train,30C 44%,30C 44%,30C,30.00,44,true,0.0926,6.50,5.22,0.44,human_confirmed_fixed_layout_baseline;low_roi_quality
capture_0013,tools/dataset/captures/stability_20260625T183410Z/capture_0013.jpg,stability_direct_stream,train,30C 44%,30C 44%,30C,30.00,44,true,0.0982,6.50,5.67,0.48,human_confirmed_fixed_layout_baseline;low_roi_quality
capture_0014,tools/dataset/captures/stability_20260625T183410Z/capture_0014.jpg,stability_direct_stream,train,30C 44%,30C 44%,30C,30.00,44,true,0.1752,9.56,11.87,0.94,human_confirmed_fixed_layout_baseline;low_roi_quality
capture_0015,tools/dataset/captures/stability_20260625T183410Z/capture_0015.jpg,stability_direct_stream,validation,30C 44%,30C 44%,30C,30.00,44,true,0.2950,16.64,20.91,1.80,human_confirmed_fixed_layout_baseline;low_roi_quality
capture_0016,tools/dataset/captures/stability_20260625T183410Z/capture_0016.jpg,stability_direct_stream,train,30C 44%,30C 44%,30C,30.00,44,true,0.1034,6.24,6.17,0.50,human_confirmed_fixed_layout_baseline;low_roi_quality
capture_0017,tools/dataset/captures/stability_20260625T183410Z/capture_0017.jpg,stability_direct_stream,train,30C 44%,30C 44%,30C,30.00,44,true,0.1490,9.80,9.48,0.85,human_confirmed_fixed_layout_baseline;low_roi_quality
capture_0018,tools/dataset/captures/stability_20260625T183410Z/capture_0018.jpg,stability_direct_stream,train,30C 44%,30C 44%,30C,30.00,44,true,0.1029,6.71,6.07,0.50,human_confirmed_fixed_layout_baseline;low_roi_quality
capture_0019,tools/dataset/captures/stability_20260625T183410Z/capture_0019.jpg,stability_direct_stream,train,30C 44%,30C 44%,30C,30.00,44,true,0.0891,6.05,4.92,0.44,human_confirmed_fixed_layout_baseline;low_roi_quality
capture_0020,tools/dataset/captures/stability_20260625T183410Z/capture_0020.jpg,stability_direct_stream,test,30C 44%,30C 44%,30C,30.00,44,true,0.3095,15.80,22.30,1.87,human_confirmed_fixed_layout_baseline;low_roi_quality
