sample_id,image_path,lighting_label,framesize,quality,brightness,contrast,saturation,aec,agc,awb,http_code,bytes,captured_at_utc,display_text,notes
capture_0001,tools/dataset/captures/stability_20260625T183410Z/capture_0001.jpg,stability_direct_stream,vga,12,,,,,,,200,26731,2026-06-25T18:34:10Z,,
capture_0002,tools/dataset/captures/stability_20260625T183410Z/capture_0002.jpg,stability_direct_stream,vga,12,,,,,,,200,9819,2026-06-25T18:34:12Z,,
capture_0003,tools/dataset/captures/stability_20260625T183410Z/capture_0003.jpg,stability_direct_stream,vga,12,,,,,,,200,16187,2026-06-25T18:34:13Z,,
capture_0004,tools/dataset/captures/stability_20260625T183410Z/capture_0004.jpg,stability_direct_stream,vga,12,,,,,,,200,9578,2026-06-25T18:34:15Z,,
capture_0005,tools/dataset/captures/stability_20260625T183410Z/capture_0005.jpg,stability_direct_stream,vga,12,,,,,,,200,9572,2026-06-25T18:34:16Z,,
capture_0006,tools/dataset/captures/stability_20260625T183410Z/capture_0006.jpg,stability_direct_stream,vga,12,,,,,,,200,9635,2026-06-25T18:34:17Z,,
capture_0007,tools/dataset/captures/stability_20260625T183410Z/capture_0007.jpg,stability_direct_stream,vga,12,,,,,,,200,9806,2026-06-25T18:34:18Z,,
capture_0008,tools/dataset/captures/stability_20260625T183410Z/capture_0008.jpg,stability_direct_stream,vga,12,,,,,,,200,13806,2026-06-25T18:34:20Z,,
capture_0009,tools/dataset/captures/stability_20260625T183410Z/capture_0009.jpg,stability_direct_stream,vga,12,,,,,,,200,13561,2026-06-25T18:34:21Z,,
capture_0010,tools/dataset/captures/stability_20260625T183410Z/capture_0010.jpg,stability_direct_stream,vga,12,,,,,,,200,9675,2026-06-25T18:34:22Z,,
capture_0011,tools/dataset/captures/stability_20260625T183410Z/capture_0011.jpg,stability_direct_stream,vga,12,,,,,,,200,13121,2026-06-25T18:34:23Z,,
capture_0012,tools/dataset/captures/stability_20260625T183410Z/capture_0012.jpg,stability_direct_stream,vga,12,,,,,,,200,9576,2026-06-25T18:34:25Z,,
capture_0013,tools/dataset/captures/stability_20260625T183410Z/capture_0013.jpg,stability_direct_stream,vga,12,,,,,,,200,9590,2026-06-25T18:34:26Z,,
capture_0014,tools/dataset/captures/stability_20260625T183410Z/capture_0014.jpg,stability_direct_stream,vga,12,,,,,,,200,13261,2026-06-25T18:34:27Z,,
capture_0015,tools/dataset/captures/stability_20260625T183410Z/capture_0015.jpg,stability_direct_stream,vga,12,,,,,,,200,15630,2026-06-25T18:34:28Z,,
capture_0016,tools/dataset/captures/stability_20260625T183410Z/capture_0016.jpg,stability_direct_stream,vga,12,,,,,,,200,9776,2026-06-25T18:34:30Z,,
capture_0017,tools/dataset/captures/stability_20260625T183410Z/capture_0017.jpg,stability_direct_stream,vga,12,,,,,,,200,13639,2026-06-25T18:34:31Z,,
capture_0018,tools/dataset/captures/stability_20260625T183410Z/capture_0018.jpg,stability_direct_stream,vga,12,,,,,,,200,9687,2026-06-25T18:34:32Z,,
capture_0019,tools/dataset/captures/stability_20260625T183410Z/capture_0019.jpg,stability_direct_stream,vga,12,,,,,,,200,9493,2026-06-25T18:34:33Z,,
capture_0020,tools/dataset/captures/stability_20260625T183410Z/capture_0020.jpg,stability_direct_stream,vga,12,,,,,,,200,15137,2026-06-25T18:34:34Z,,
