sample_id,image_path,lighting_label,split,display_text,predicted_display_text,temperature_text,temperature_c,humidity_percent,valid,confidence,roi_brightness,roi_contrast,roi_sharpness,notes
capture_0001,tools/dataset/captures/training_baseline_manual_20260625T183552Z/capture_0001.jpg,baseline_manual_bright,train,29C 43%,29C 43%,29C,29.00,43,true,0.5193,19.29,39.13,3.37,human_confirmed_fixed_layout_baseline
capture_0002,tools/dataset/captures/training_baseline_manual_20260625T183552Z/capture_0002.jpg,baseline_manual_bright,train,29C 43%,29C 43%,29C,29.00,43,true,0.5177,19.16,39.02,3.36,human_confirmed_fixed_layout_baseline
capture_0003,tools/dataset/captures/training_baseline_manual_20260625T183552Z/capture_0003.jpg,baseline_manual_bright,train,29C 43%,29C 43%,29C,29.00,43,true,0.5198,19.47,39.10,3.40,human_confirmed_fixed_layout_baseline
capture_0004,tools/dataset/captures/training_baseline_manual_20260625T183552Z/capture_0004.jpg,baseline_manual_bright,train,29C 43%,29C 43%,29C,29.00,43,true,0.5203,19.28,39.16,3.40,human_confirmed_fixed_layout_baseline
capture_0005,tools/dataset/captures/training_baseline_manual_20260625T183552Z/capture_0005.jpg,baseline_manual_bright,validation,29C 43%,29C 43%,29C,29.00,43,true,0.5146,19.31,38.77,3.33,human_confirmed_fixed_layout_baseline
capture_0006,tools/dataset/captures/training_baseline_manual_20260625T183552Z/capture_0006.jpg,baseline_manual_bright,train,29C 43%,29C 43%,29C,29.00,43,true,0.5147,19.18,38.75,3.35,human_confirmed_fixed_layout_baseline
capture_0007,tools/dataset/captures/training_baseline_manual_20260625T183552Z/capture_0007.jpg,baseline_manual_bright,train,29C 43%,29C 43%,29C,29.00,43,true,0.5163,19.11,38.87,3.36,human_confirmed_fixed_layout_baseline
capture_0008,tools/dataset/captures/training_baseline_manual_20260625T183552Z/capture_0008.jpg,baseline_manual_bright,train,29C 43%,29C 43%,29C,29.00,43,true,0.5190,19.45,39.05,3.39,human_confirmed_fixed_layout_baseline
capture_0009,tools/dataset/captures/training_baseline_manual_20260625T183552Z/capture_0009.jpg,baseline_manual_bright,train,29C 43%,29C 43%,29C,29.00,43,true,0.5161,19.14,38.83,3.37,human_confirmed_fixed_layout_baseline
capture_0010,tools/dataset/captures/training_baseline_manual_20260625T183552Z/capture_0010.jpg,baseline_manual_bright,test,29C 43%,29C 43%,29C,29.00,43,true,0.5193,19.20,39.11,3.39,human_confirmed_fixed_layout_baseline
