sample_id,image_path,lighting_label,framesize,quality,brightness,contrast,saturation,aec,agc,awb,http_code,bytes,captured_at_utc,display_text,notes
capture_0001,tools/dataset/captures/training_baseline_manual_20260625T183552Z/capture_0001.jpg,baseline_manual_bright,vga,12,2,2,,0,0,0,200,19487,2026-06-25T18:35:52Z,,
capture_0002,tools/dataset/captures/training_baseline_manual_20260625T183552Z/capture_0002.jpg,baseline_manual_bright,vga,12,2,2,,0,0,0,200,19497,2026-06-25T18:35:53Z,,
capture_0003,tools/dataset/captures/training_baseline_manual_20260625T183552Z/capture_0003.jpg,baseline_manual_bright,vga,12,2,2,,0,0,0,200,18773,2026-06-25T18:35:55Z,,
capture_0004,tools/dataset/captures/training_baseline_manual_20260625T183552Z/capture_0004.jpg,baseline_manual_bright,vga,12,2,2,,0,0,0,200,18912,2026-06-25T18:35:56Z,,
capture_0005,tools/dataset/captures/training_baseline_manual_20260625T183552Z/capture_0005.jpg,baseline_manual_bright,vga,12,2,2,,0,0,0,200,19058,2026-06-25T18:35:57Z,,
capture_0006,tools/dataset/captures/training_baseline_manual_20260625T183552Z/capture_0006.jpg,baseline_manual_bright,vga,12,2,2,,0,0,0,200,19136,2026-06-25T18:35:58Z,,
capture_0007,tools/dataset/captures/training_baseline_manual_20260625T183552Z/capture_0007.jpg,baseline_manual_bright,vga,12,2,2,,0,0,0,200,18712,2026-06-25T18:36:00Z,,
capture_0008,tools/dataset/captures/training_baseline_manual_20260625T183552Z/capture_0008.jpg,baseline_manual_bright,vga,12,2,2,,0,0,0,200,18911,2026-06-25T18:36:01Z,,
capture_0009,tools/dataset/captures/training_baseline_manual_20260625T183552Z/capture_0009.jpg,baseline_manual_bright,vga,12,2,2,,0,0,0,200,18731,2026-06-25T18:36:02Z,,
capture_0010,tools/dataset/captures/training_baseline_manual_20260625T183552Z/capture_0010.jpg,baseline_manual_bright,vga,12,2,2,,0,0,0,200,18638,2026-06-25T18:36:03Z,,
capture_0011,tools/dataset/captures/training_baseline_manual_20260625T183552Z/capture_0011.jpg,baseline_manual_bright,vga,12,2,2,,0,0,0,200,18767,2026-06-25T18:36:05Z,,
capture_0012,tools/dataset/captures/training_baseline_manual_20260625T183552Z/capture_0012.jpg,baseline_manual_bright,vga,12,2,2,,0,0,0,200,18745,2026-06-25T18:36:06Z,,
capture_0013,tools/dataset/captures/training_baseline_manual_20260625T183552Z/capture_0013.jpg,baseline_manual_bright,vga,12,2,2,,0,0,0,200,18711,2026-06-25T18:36:07Z,,
capture_0014,tools/dataset/captures/training_baseline_manual_20260625T183552Z/capture_0014.jpg,baseline_manual_bright,vga,12,2,2,,0,0,0,200,19145,2026-06-25T18:36:08Z,,
capture_0015,tools/dataset/captures/training_baseline_manual_20260625T183552Z/capture_0015.jpg,baseline_manual_bright,vga,12,2,2,,0,0,0,200,19109,2026-06-25T18:36:10Z,,
capture_0016,tools/dataset/captures/training_baseline_manual_20260625T183552Z/capture_0016.jpg,baseline_manual_bright,vga,12,2,2,,0,0,0,200,18748,2026-06-25T18:36:11Z,,
capture_0017,tools/dataset/captures/training_baseline_manual_20260625T183552Z/capture_0017.jpg,baseline_manual_bright,vga,12,2,2,,0,0,0,200,18898,2026-06-25T18:36:12Z,,
capture_0018,tools/dataset/captures/training_baseline_manual_20260625T183552Z/capture_0018.jpg,baseline_manual_bright,vga,12,2,2,,0,0,0,200,18713,2026-06-25T18:36:13Z,,
capture_0019,tools/dataset/captures/training_baseline_manual_20260625T183552Z/capture_0019.jpg,baseline_manual_bright,vga,12,2,2,,0,0,0,200,18991,2026-06-25T18:36:15Z,,
capture_0020,tools/dataset/captures/training_baseline_manual_20260625T183552Z/capture_0020.jpg,baseline_manual_bright,vga,12,2,2,,0,0,0,200,19099,2026-06-25T18:36:16Z,,
capture_0021,tools/dataset/captures/training_baseline_manual_20260625T183552Z/capture_0021.jpg,baseline_manual_bright,vga,12,2,2,,0,0,0,200,19380,2026-06-25T18:36:17Z,,
capture_0022,tools/dataset/captures/training_baseline_manual_20260625T183552Z/capture_0022.jpg,baseline_manual_bright,vga,12,2,2,,0,0,0,200,18764,2026-06-25T18:36:19Z,,
capture_0023,tools/dataset/captures/training_baseline_manual_20260625T183552Z/capture_0023.jpg,baseline_manual_bright,vga,12,2,2,,0,0,0,200,19917,2026-06-25T18:36:20Z,,
capture_0024,tools/dataset/captures/training_baseline_manual_20260625T183552Z/capture_0024.jpg,baseline_manual_bright,vga,12,2,2,,0,0,0,200,18851,2026-06-25T18:36:21Z,,
capture_0025,tools/dataset/captures/training_baseline_manual_20260625T183552Z/capture_0025.jpg,baseline_manual_bright,vga,12,2,2,,0,0,0,200,18661,2026-06-25T18:36:22Z,,
capture_0026,tools/dataset/captures/training_baseline_manual_20260625T183552Z/capture_0026.jpg,baseline_manual_bright,vga,12,2,2,,0,0,0,200,19604,2026-06-25T18:36:24Z,,
capture_0027,tools/dataset/captures/training_baseline_manual_20260625T183552Z/capture_0027.jpg,baseline_manual_bright,vga,12,2,2,,0,0,0,200,18685,2026-06-25T18:36:25Z,,
capture_0028,tools/dataset/captures/training_baseline_manual_20260625T183552Z/capture_0028.jpg,baseline_manual_bright,vga,12,2,2,,0,0,0,200,18865,2026-06-25T18:36:26Z,,
capture_0029,tools/dataset/captures/training_baseline_manual_20260625T183552Z/capture_0029.jpg,baseline_manual_bright,vga,12,2,2,,0,0,0,200,18535,2026-06-25T18:36:27Z,,
capture_0030,tools/dataset/captures/training_baseline_manual_20260625T183552Z/capture_0030.jpg,baseline_manual_bright,vga,12,2,2,,0,0,0,200,18457,2026-06-25T18:36:28Z,,
capture_0031,tools/dataset/captures/training_baseline_manual_20260625T183552Z/capture_0031.jpg,baseline_manual_bright,vga,12,2,2,,0,0,0,200,19135,2026-06-25T18:36:30Z,,
capture_0032,tools/dataset/captures/training_baseline_manual_20260625T183552Z/capture_0032.jpg,baseline_manual_bright,vga,12,2,2,,0,0,0,200,19280,2026-06-25T18:36:31Z,,
